"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.795833178E-4,-5.732928314E0,7.509284363E0,1.507814484E0
1.063858331E-2,-5.653443604E0,7.618856506E0,1.699715424E0
2.059658332E-2,-5.663323059E0,7.676486664E0,1.506018219E0
3.055558333E-2,-5.750741272E0,7.803871765E0,1.593436432E0
4.051458332E-2,-5.801186371E0,7.634873199E0,1.680704956E0
5.047358331E-2,-5.892197113E0,7.433092804E0,1.891017609E0
6.043258333E-2,-5.718707886E0,7.801776123E0,1.623972931E0
7.039058331E-2,-5.698948975E0,7.733967133E0,1.495989075E0
8.034958332E-2,-5.667664032E0,7.768844604E0,1.529369659E0
9.030858331E-2,-5.643264771E0,7.792944489E0,1.624272308E0
1.002675833E-1,-5.620512085E0,7.824079742E0,1.773511963E0
1.102265833E-1,-5.597909088E0,7.784711609E0,1.778302002E0
1.201855833E-1,-5.562881927E0,7.777825928E0,1.783092041E0
1.301435833E-1,-5.500611420E0,7.807613983E0,1.826202393E0
1.401025833E-1,-5.426515503E0,7.858957214E0,1.867366791E0
1.500615833E-1,-5.486840057E0,7.870782623E0,1.885778503E0
1.600205833E-1,-5.569617920E0,7.787256317E0,1.859732666E0
1.699795833E-1,-5.640121307E0,7.726482697E0,1.809886322E0
1.799385833E-1,-5.802683258E0,7.633975067E0,1.571581879E0
1.898965833E-1,-6.010301514E0,7.518115997E0,1.397194519E0
1.998555833E-1,-6.192472687E0,7.450307007E0,1.477727051E0
2.098145833E-1,-6.365662537E0,7.438780975E0,1.611997833E0
2.197735833E-1,-6.583010559E0,7.397616577E0,1.755848694E0
2.297325833E-1,-6.593189392E0,7.416477356E0,1.784139862E0
2.396905833E-1,-6.469247131E0,7.453899536E0,1.807790680E0
2.496495833E-1,-6.273454285E0,7.594307556E0,1.759590912E0
2.596085833E-1,-5.870791626E0,7.794890442E0,1.719174957E0
2.695675833E-1,-5.544919281E0,8.018226013E0,1.607357483E0
2.795265833E-1,-5.319637756E0,8.152646484E0,1.414708099E0
2.894855833E-1,-5.123994598E0,8.291108551E0,1.263223114E0
2.994435833E-1,-5.048701172E0,8.354426880E0,1.087039490E0
3.094025833E-1,-5.032235413E0,8.314609680E0,8.972341919E-1
3.193615833E-1,-5.126988373E0,8.226892090E0,7.786807251E-1
3.293205833E-1,-5.262306976E0,8.118966522E0,7.686515808E-1
3.392795833E-1,-5.336702271E0,8.058492279E0,8.249345398E-1
3.492375833E-1,-5.395979004E0,8.015980682E0,8.646020508E-1
3.591965833E-1,-5.423222351E0,8.002359009E0,1.038240967E0
3.691555833E-1,-5.376519470E0,8.037386169E0,1.307830353E0
3.791145833E-1,-5.341941376E0,8.098159790E0,1.439107361E0
3.890735833E-1,-5.274880829E0,8.135132904E0,1.351240082E0
3.990325833E-1,-5.159770203E0,8.095016327E0,1.094224548E0
4.089905833E-1,-5.122048645E0,8.052504730E0,9.425898743E-1
4.189495833E-1,-5.265749817E0,8.004604340E0,9.572593689E-1
4.289085833E-1,-5.588628387E0,7.817792816E0,1.133442993E0
4.388675833E-1,-5.667664032E0,7.532785492E0,1.208736420E0
4.488265833E-1,-5.511688385E0,7.299869843E0,1.009650421E0
