"Time (s)","X (hPa)"
-5.753492917E-1,1.009922028E3
4.318027083E-1,1.009919281E3
1.438985708E0,1.009920120E3
2.446119708E0,1.009916534E3
3.453275708E0,1.009904861E3
3.802634708E0,1.009904861E3
4.876876708E0,1.009905548E3
5.951094708E0,1.009905548E3
7.025315708E0,1.009905319E3
8.099586708E0,1.009905090E3
9.173836708E0,1.009899673E3
1.024807071E1,1.009895172E3
1.132235971E1,1.009894333E3
1.239666371E1,1.009890366E3
1.347094471E1,1.009890366E3
1.454515971E1,1.009894257E3
1.561941571E1,1.009900208E3
1.669366771E1,1.009900818E3
1.776788471E1,1.009900894E3
1.884207971E1,1.009904404E3
1.991626271E1,1.009908218E3
2.099048671E1,1.009911575E3
2.206468271E1,1.009915848E3
2.313890971E1,1.009916916E3
2.421315771E1,1.009919586E3
2.528740971E1,1.009919586E3
2.636164971E1,1.009918365E3
2.743585971E1,1.009918365E3
2.851007671E1,1.009923782E3
2.958430171E1,1.009932251E3
3.065851671E1,1.009937439E3
3.173275471E1,1.009942551E3
3.280698371E1,1.009942932E3
3.388123871E1,1.009942932E3
3.495541471E1,1.009937897E3
3.602962971E1,1.009937744E3
3.710389071E1,1.009935760E3
3.817813871E1,1.009934616E3
3.925241071E1,1.009933548E3
4.032670871E1,1.009933014E3
4.140108071E1,1.009933548E3
4.247540471E1,1.009934158E3
4.354969671E1,1.009935455E3
4.462397971E1,1.009936905E3
4.569828171E1,1.009937973E3
4.677267071E1,1.009940186E3
4.784702271E1,1.009943390E3
4.892136271E1,1.009946136E3
4.999575571E1,1.009950790E3
5.107015371E1,1.009954529E3
5.214453071E1,1.009958496E3
5.321884471E1,1.009978180E3
5.429317471E1,1.009978333E3
5.536751571E1,1.009985275E3
5.644180471E1,1.009985275E3
5.751612071E1,1.009993439E3
5.859041871E1,1.009993439E3
5.966472571E1,1.009988174E3
6.073910671E1,1.009983749E3
6.181349271E1,1.009983749E3
6.288791471E1,1.009983749E3
6.396229271E1,1.009972916E3
6.503667071E1,1.009971542E3
6.611105671E1,1.009972916E3
6.718542571E1,1.009984283E3
6.825983671E1,1.009984283E3
6.933418371E1,1.009977112E3
7.040861871E1,1.009976883E3
