"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.394583321E-3,5.272164941E-2,-6.929282099E-2,-4.021923989E-2
1.935358331E-2,3.889398277E-2,-6.068575010E-2,-4.114149138E-2
2.931258333E-2,2.961698547E-2,-6.745079160E-2,-3.283210844E-2
3.927158331E-2,6.054987013E-2,-1.089686677E-1,-2.927572653E-2
4.922958332E-2,7.176041603E-2,-1.211349815E-1,-4.212404788E-2
5.918858331E-2,4.880210012E-2,-8.728593588E-2,-5.993180722E-2
6.914758333E-2,3.409684449E-2,-7.440979779E-2,-7.478179038E-2
7.910658332E-2,2.804747224E-2,-7.601036131E-2,-8.230867982E-2
8.906558331E-2,3.776657209E-2,-9.103304893E-2,-8.768355846E-2
9.902458332E-2,4.958514869E-2,-9.771438688E-2,-9.168042988E-2
1.089825833E-1,6.199621782E-2,-8.871641755E-2,-1.032487005E-1
1.189415833E-1,7.552374154E-2,-8.417119831E-2,-1.125476658E-1
1.289005833E-1,9.981951118E-2,-7.548250258E-2,-1.243511140E-1
1.388595833E-1,1.404052824E-1,-6.198133901E-2,-1.329235584E-1
1.488185833E-1,1.912374794E-1,-6.421013921E-2,-1.318994612E-1
1.587765833E-1,2.434737831E-1,-6.513611972E-2,-1.347612888E-1
1.687355833E-1,2.997457385E-1,-8.012990654E-2,-1.353208572E-1
1.786945833E-1,3.489699960E-1,-1.103554592E-1,-1.320640743E-1
1.886535833E-1,4.048039913E-1,-1.688618511E-1,-1.292197108E-1
1.986125833E-1,4.649951756E-1,-2.420569807E-1,-1.338559985E-1
2.085715833E-1,5.157867670E-1,-3.226974010E-1,-1.365582794E-1
2.185295833E-1,5.405405760E-1,-4.032185972E-1,-1.400342435E-1
2.284885833E-1,5.621780157E-1,-4.717677832E-1,-1.577436179E-1
2.384475833E-1,5.927503109E-1,-5.217593312E-1,-1.666103452E-1
2.484065833E-1,6.239864826E-1,-5.554822087E-1,-1.680728048E-1
2.583655833E-1,6.615847349E-1,-5.676674843E-1,-1.591341645E-1
2.683235833E-1,6.913878918E-1,-5.827531815E-1,-1.336403191E-1
2.782825833E-1,7.096017599E-1,-5.961981416E-1,-1.013534740E-1
2.882415833E-1,7.114052176E-1,-5.955498219E-1,-7.022393495E-2
2.982005833E-1,6.847515106E-1,-5.887939334E-1,-4.052995518E-2
3.081595833E-1,6.327311397E-1,-5.714834332E-1,-2.228374220E-2
3.181185833E-1,5.553966165E-1,-5.410230160E-1,-1.538482308E-2
3.280765833E-1,4.686069191E-1,-5.004928112E-1,-1.375714876E-2
3.380355833E-1,3.909118474E-1,-4.586844146E-1,-1.451242156E-2
3.479945833E-1,3.097714782E-1,-4.167442620E-1,-9.861739352E-3
3.579535833E-1,2.406049073E-1,-3.771899343E-1,-8.725368418E-3
3.679125833E-1,1.792086065E-1,-3.348799646E-1,-1.940898038E-2
3.778715833E-1,1.423259526E-1,-2.668961287E-1,-2.627754025E-2
3.878295833E-1,1.233410686E-1,-1.763045937E-1,-3.325790167E-2
3.977885833E-1,9.682663530E-2,-7.761529833E-2,-3.897703812E-2
4.077475833E-1,4.793767631E-2,3.688666970E-2,-5.371347070E-2
4.177065833E-1,-2.235592529E-2,1.712074578E-1,-7.898473740E-2
4.276655833E-1,-1.085477173E-1,2.862130105E-1,-1.262505949E-1
4.376235833E-1,-2.285739928E-1,3.893063664E-1,-2.149485052E-1
4.475825833E-1,-3.759359419E-1,4.916351140E-1,-3.436937630E-1
4.575415833E-1,-4.738957882E-1,6.963413954E-1,-3.235261738E-1
4.675005833E-1,-4.739952385E-1,8.741979003E-1,-1.773466617E-1
4.774595833E-1,-5.402695537E-1,7.549263835E-1,-2.144602090E-1
4.874185833E-1,-6.345773339E-1,4.779402316E-1,-3.120442331E-1
4.973765833E-1,-6.837608218E-1,1.830500066E-1,-3.764202893E-1
5.073355833E-1,-6.464386582E-1,1.505315453E-1,-2.847849131E-1
5.172945833E-1,-4.695080817E-1,9.454523027E-2,-3.950978518E-1
5.272535833E-1,-2.509952188E-1,-1.161494628E-1,-5.528290272E-1
5.372125833E-1,-6.170358509E-2,-5.803078413E-1,-6.522089243E-1
5.471715833E-1,-5.400648713E-2,-1.385481596E0,-6.668581963E-1
5.571295833E-1,-1.141611785E-1,-2.096362591E0,-6.179575324E-1
5.670885833E-1,7.757660002E-2,-2.284675837E0,-7.339881659E-1
5.770478333E-1,3.284213543E-1,-2.258816719E0,-1.156662822E0
5.870068333E-1,4.407204986E-1,-2.272047281E0,-1.405759811E0
5.969658333E-1,4.133847654E-1,-2.121129274E0,-1.429778337E0
6.069238333E-1,3.087010980E-1,-1.783393979E0,-1.330540895E0
6.168828333E-1,2.090741247E-1,-1.382715106E0,-1.184374809E0
6.268418333E-1,2.218171358E-1,-1.161211252E0,-1.142071366E0
6.368008333E-1,3.060081899E-1,-1.088259101E0,-1.149419785E0
