"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.394583321E-3,8.238200605E-2,-1.628133810E-1,1.317966793E-1
1.935358331E-2,1.733266747E-1,-9.421384692E-2,-2.117686093E-2
2.931258333E-2,5.995910347E-2,-2.858645260E-2,-4.721509695E-2
3.927158331E-2,4.395410478E-2,1.000066835E-1,3.357047305E-2
4.922958332E-2,-7.300248742E-2,-4.097763813E-1,2.830397362E-1
5.918858331E-2,6.405624747E-3,-6.443046927E-3,1.427574313E-1
6.914758333E-2,1.208976156E-1,1.711713910E-2,-7.499872684E-2
7.910658332E-2,1.328452313E-1,1.239258885E-2,-8.526877642E-2
8.906558331E-2,1.635290802E-1,4.418448508E-2,-1.851067677E-2
9.902458332E-2,1.962740725E-1,7.980221450E-2,1.246450961E-1
1.089825833E-1,2.226362443E-1,6.869601309E-2,1.931216924E-1
1.189415833E-1,2.700402063E-1,5.435630143E-2,1.732879369E-1
1.289005833E-1,3.125944877E-1,7.454615235E-2,2.138576733E-1
1.388595833E-1,4.125666726E-1,1.367166728E-1,2.617944628E-1
1.488185833E-1,4.131186497E-1,1.741920626E-1,3.008491856E-1
1.587765833E-1,3.354261106E-1,1.211981624E-1,3.063065381E-1
1.687355833E-1,2.738876742E-1,5.439723194E-2,2.834094264E-1
1.786945833E-1,1.719718748E-1,-1.440753937E-2,1.376360013E-1
1.886535833E-1,-3.795135319E-2,-1.329779631E-1,-7.515075445E-2
1.986125833E-1,-2.146208811E-1,-2.223316044E-1,-7.360241175E-2
2.085715833E-1,-3.801473701E-1,-2.449761164E-1,9.208370626E-2
2.185295833E-1,-5.947828692E-1,-2.748167968E-1,2.612658745E-1
2.284885833E-1,-7.056998724E-1,-2.805371279E-1,3.475931431E-1
2.384475833E-1,-5.859237528E-1,-2.583065987E-1,3.761635159E-1
2.484065833E-1,-4.359333158E-1,-1.491566241E-1,3.882979502E-1
2.583655833E-1,-9.643169582E-2,2.859288454E-2,3.429491383E-1
2.683235833E-1,2.983477467E-1,2.577610534E-1,2.883903770E-1
2.782825833E-1,5.419760799E-1,4.141582847E-1,1.345900404E-1
2.882415833E-1,7.547369617E-1,5.494722104E-1,-2.529037714E-2
2.982005833E-1,8.741838831E-1,6.475288475E-1,-1.532395886E-1
3.081595833E-1,9.059260780E-1,6.368395525E-1,-3.412680638E-1
3.181185833E-1,8.497097772E-1,5.488208306E-1,-4.715646400E-1
3.280765833E-1,7.036059844E-1,4.389399540E-1,-5.209810674E-1
3.380355833E-1,6.112305021E-1,3.568128866E-1,-4.650191206E-1
3.479945833E-1,5.262611032E-1,3.059584826E-1,-4.289834614E-1
3.579535833E-1,4.940365130E-1,2.757289624E-1,-3.202781676E-1
3.679125833E-1,5.004409683E-1,2.851055574E-1,-6.349491477E-2
3.778715833E-1,5.490406859E-1,3.409844738E-1,1.307045656E-1
3.878295833E-1,5.928211284E-1,3.986918145E-1,1.189884996E-1
3.977885833E-1,7.038410425E-1,3.889298880E-1,-9.380205676E-2
4.077475833E-1,7.691994649E-1,3.412692332E-1,-3.130115403E-1
4.177065833E-1,7.404451972E-1,3.083540869E-1,-3.472942042E-1
4.276655833E-1,4.504010814E-1,1.892252541E-1,-2.120061524E-1
4.376235833E-1,2.606981099E-1,-6.743242979E-2,-5.324079886E-2
4.475825833E-1,3.835510343E-1,-3.013964850E-1,-1.397895308E-1
4.575415833E-1,5.557497811E-1,-5.246443480E-1,-4.310334952E-1
4.675005833E-1,-9.412438452E-1,-2.395506604E0,2.250360878E-1
4.774595833E-1,-1.984635624E0,-3.899755456E0,7.453340542E-1
4.874185833E-1,-1.233943182E0,-3.107019778E0,3.673605327E-1
4.973765833E-1,-1.080057330E0,-2.779304976E0,5.785727794E-1
5.073355833E-1,-9.573476619E-1,-2.541372415E0,1.503624954E0
5.172945833E-1,-3.615485466E-1,-2.532827294E0,3.196746472E0
5.272535833E-1,8.737014878E-1,-2.624982921E0,3.978896935E0
5.372125833E-1,4.622668362E-1,-2.866230268E0,2.943107121E0
5.471715833E-1,-5.925346148E-1,-2.828219274E0,1.044199280E0
5.571295833E-1,-1.329910024E0,-2.836882508E0,-1.389422692E-1
5.670885833E-1,-1.152815403E0,-2.670511681E0,6.067271228E-1
5.770478333E-1,6.664574540E-1,-2.663239499E0,2.738852769E0
5.870068333E-1,2.245181707E0,-4.132529018E0,3.059218206E0
5.969658333E-1,1.607776728E0,-4.543875961E0,1.338984025E0
6.069238333E-1,9.128480119E-1,-3.999603095E0,-8.882785964E-1
6.168828333E-1,1.766964251E-1,-3.519371274E0,-2.249733764E0
6.268418333E-1,-3.841737628E-2,-3.019168872E0,-1.907778360E0
6.368008333E-1,7.656045967E-1,-2.303087853E0,-8.024765539E-1
6.467598333E-1,1.025126247E0,-1.494748296E0,-3.469112116E-1
6.567188333E-1,9.012617540E-1,-5.253629708E-1,-1.051700088E0
6.666768333E-1,7.027318257E-1,4.730034935E-1,-1.452774643E0
6.766358333E-1,-3.926814616E-2,1.523345858E0,-8.836300600E-1
6.865948333E-1,-1.683555474E0,2.974736465E0,-2.919812983E-1
6.965538333E-1,-3.500475411E0,4.708116648E0,-7.021775097E-2
7.065128333E-1,-4.746317092E0,6.207083709E0,-3.714999229E-1
7.164718333E-1,-5.132922127E0,7.181709309E0,-1.293713128E0
7.264298333E-1,-5.256822288E0,7.512135465E0,-1.215315122E0
7.363888333E-1,-5.318691677E0,7.521615556E0,-1.705161228E0
7.463478333E-1,-4.800298002E0,8.132379450E0,-1.967372597E0
7.563068333E-1,-4.556066236E0,9.347144349E0,-1.850439686E0
7.662658333E-1,-4.891860722E0,1.035164630E1,-2.090782469E0
7.762238333E-1,-5.388431418E0,1.086093995E1,-1.881166951E0
7.861828333E-1,-5.773878120E0,1.093587436E1,-1.606594421E0
7.961418333E-1,-5.540589418E0,1.066056639E1,-1.329179122E0
8.061008333E-1,-4.917686119E0,1.015450625E1,-1.345142898E0
8.160598333E-1,-4.148410056E0,9.331079709E0,-1.704281368E0
8.260188333E-1,-3.077869654E0,8.069786176E0,-2.049938937E0
8.359768333E-1,-1.714310074E0,6.735486063E0,-1.968302597E0
8.459358333E-1,-7.551012433E-1,5.393972239E0,-1.176193156E0
8.558948333E-1,-3.178616595E-1,4.291458094E0,1.462019529E-1
8.658538333E-1,-2.478307271E-1,3.478427315E0,1.565475047E0
8.758128333E-1,-3.974943048E-1,2.752995429E0,2.719787922E0
8.857708333E-1,-7.579307109E-1,1.787959848E0,3.269881107E0
8.957298333E-1,-1.608077275E0,4.344738507E-1,2.897664900E0
9.056888333E-1,-2.483763893E0,-1.884273430E0,1.884664024E0
9.156478333E-1,-3.050349734E0,-4.617802309E0,8.512692297E-1
9.256068333E-1,-3.274268273E0,-6.370200561E0,5.104432154E-1
9.355658333E-1,-2.873731369E0,-7.851480380E0,1.890767348E0
9.455238333E-1,-1.809161852E0,-9.092320352E0,4.656405627E0
9.554828333E-1,-6.451162863E-1,-1.012582683E1,7.185205944E0
9.654418333E-1,-5.223648110E-1,-1.036907334E1,8.478753887E0
9.754008333E-1,-1.381107659E0,-9.648367757E0,9.107696775E0
9.853598333E-1,-1.402908711E0,-9.082736181E0,8.623795241E0
9.953188333E-1,5.234807521E-2,-8.595409348E0,5.977239017E0
1.005276833E0,2.367047621E0,-7.619731250E0,1.380146377E0
1.015235833E0,4.265544403E0,-7.360375661E0,-3.947041304E0
1.025194833E0,5.107037673E0,-7.834060355E0,-6.767384963E0
1.035153833E0,5.183142108E0,-8.746361067E0,-6.538277020E0
1.045112833E0,4.815825868E0,-9.661835064E0,-5.789055153E0
1.055071833E0,4.572367689E0,-1.088401891E1,-5.425297528E0
1.065029833E0,4.300496427E0,-1.218601608E1,-5.047614174E0
1.074988833E0,4.325369605E0,-1.347709533E1,-4.717709590E0
1.084947833E0,4.822160157E0,-1.452278565E1,-4.472832291E0
1.094906833E0,5.429323336E0,-1.504271773E1,-4.440708273E0
1.104865833E0,6.191042458E0,-1.493575812E1,-4.381394117E0
1.114824833E0,7.395787568E0,-1.428789130E1,-3.754940389E0
1.124782833E0,8.596118031E0,-1.328887346E1,-2.662063040E0
1.134741833E0,9.572097845E0,-1.203487725E1,-1.660724435E0
1.144700833E0,9.496829562E0,-9.973154858E0,-1.680602045E0
1.154659833E0,7.079699954E0,-7.617259047E0,-2.493419400E0
1.164618833E0,4.938409236E0,-4.749292156E0,-1.978391383E0
1.174577833E0,2.407123852E0,-4.635807055E-1,1.380680813E0
1.184536833E0,-1.233349397E0,5.958705683E0,1.398277540E1
1.194494833E0,-1.679302501E0,1.252693448E1,2.002960915E1
1.204453833E0,5.152674606E-1,1.429371630E1,5.950964554E0
1.214412833E0,1.599289495E-1,1.655424636E1,-8.183354892E0
1.224371833E0,-4.465931115E0,2.424189887E1,-9.812488575E0
1.234330833E0,-1.773268719E1,3.439712082E1,2.950130212E0
1.244289833E0,-3.165875045E1,3.854165300E1,6.030716482E0
1.254247833E0,-3.344181910E1,3.608740118E1,-3.502084565E-1
1.264206833E0,-2.249487713E1,3.152757635E1,7.404188848E-1
1.274165833E0,-1.093187135E1,2.582579031E1,4.527925926E0
1.284124833E0,-8.300482807E0,1.676080276E1,3.961764593E0
1.294083833E0,-1.038971167E1,6.368517147E0,2.753673706E0
1.304042833E0,-7.197130755E0,3.314119386E0,1.842105650E0
1.314000833E0,-2.696538808E0,2.057588410E0,5.270014337E-1
1.323959833E0,-1.283522308E-1,2.145115381E-1,-1.133640556E0
1.333918833E0,1.596807059E0,-2.116215518E0,-1.684519680E0
1.343877833E0,2.962328673E0,-4.866810665E0,-1.192214454E0
1.353836833E0,4.272007915E0,-6.692190939E0,-8.425896227E-1
1.363795833E0,5.129723700E0,-8.249672257E0,-9.870860159E-1
1.373754833E0,5.359112309E0,-9.365827373E0,-1.586181353E0
1.383712833E0,5.174448468E0,-1.042484408E1,-1.494526101E0
1.393671833E0,4.748264800E0,-1.162751811E1,6.186814629E-2
1.403630833E0,3.957685868E0,-1.268133606E1,2.876880387E0
1.413589833E0,2.855668443E0,-1.301566465E1,5.327171309E0
1.423548833E0,2.204209243E0,-1.278224847E1,5.383993381E0
1.433507833E0,2.287848985E0,-1.285953580E1,4.228867743E0
1.443465833E0,2.607414962E0,-1.335585916E1,2.876233685E0
1.453424833E0,2.917575254E0,-1.393158888E1,7.592176831E-1
1.463383833E0,3.268673072E0,-1.414987830E1,-1.093152169E0
1.473342833E0,3.600989048E0,-1.414379954E1,-2.133171859E0
1.483301833E0,3.901782686E0,-1.402212950E1,-2.774888574E0
1.493260833E0,4.122278557E0,-1.381004631E1,-2.809755521E0
1.503219833E0,4.110113132E0,-1.359422909E1,-2.142580029E0
1.513178833E0,3.870151588E0,-1.336504397E1,-1.120998949E0
1.523136833E0,3.614092659E0,-1.328981603E1,-1.304759395E-1
1.533095833E0,3.520068262E0,-1.301910281E1,8.799346197E-1
1.543054833E0,3.604793832E0,-1.167192654E1,2.010904241E0
1.553013833E0,3.567486257E0,-9.695303357E0,2.821738805E0
1.562972833E0,3.167279136E0,-7.557996932E0,3.354548789E0
1.572931833E0,2.422893208E0,-5.512682412E0,3.927237954E0
1.582890458E0,1.700462990E0,-4.390829185E0,5.201414657E0
1.592848458E0,1.220000496E0,-4.237046828E0,4.071288790E0
1.602807458E0,1.440424739E0,-3.332323523E0,2.940036163E0
1.612766458E0,1.820646953E0,-3.295639261E0,-1.719086664E0
1.622725458E0,-3.728287026E-1,-2.764733714E0,-5.560653554E0
1.632684458E0,-8.204625893E0,2.308962550E0,-9.589659957E0
1.642643458E0,-1.894619026E1,2.240376582E1,-1.333018871E1
1.652602458E0,-1.582688782E1,5.221968205E1,-8.502650288E0
1.662560458E0,-1.382480936E1,8.033368898E1,-3.241715069E0
1.672519458E0,-1.712062404E1,7.810114253E1,1.086496795E0
1.682478458E0,-1.344473333E1,4.135623364E1,4.494016753E0
1.692437458E0,-5.559437917E0,1.732840836E1,6.210220156E0
1.702396458E0,-2.314107515E0,5.653406181E0,2.904727167E0
1.712355458E0,8.558680648E-1,2.792988630E0,2.559764832E0
1.722314458E0,2.288829271E0,1.661659990E0,1.822796974E0
1.732272458E0,2.623027905E0,-1.178950703E-1,3.657620502E-1
1.742231458E0,2.465844516E0,-2.420059063E0,-6.252123642E-1
1.752190458E0,2.314501033E0,-5.184666477E0,-6.648307586E-1
1.762149458E0,2.188176763E0,-7.851717192E0,-1.795948899E-1
1.772108458E0,2.764077657E0,-1.005111345E1,6.343406718E-2
1.782067458E0,3.321567569E0,-1.142705801E1,-7.826498151E-2
1.792026458E0,2.878314709E0,-1.231111960E1,2.178766290E-1
1.801985458E0,1.717622522E0,-1.297402311E1,1.316728646E0
1.811943458E0,3.919080211E-1,-1.324985148E1,1.794960719E0
1.821902458E0,-6.823488705E-1,-1.362764242E1,1.445869666E0
1.831861458E0,-1.295856863E0,-1.426551518E1,9.041157800E-1
1.841820458E0,-1.650926402E0,-1.502330965E1,4.283056960E-1
1.851779458E0,-1.824803739E0,-1.567522742E1,5.414287806E-2
1.861738458E0,-1.614508920E0,-1.601182472E1,-1.795983251E-1
1.871697458E0,-9.511916401E-1,-1.586967774E1,-3.529561362E-1
1.881656458E0,-1.158925451E-1,-1.549464902E1,-8.156082308E-1
1.891614458E0,6.121290730E-1,-1.492755097E1,-1.642614585E0
1.901573458E0,1.111133673E0,-1.416669372E1,-2.634501311E0
1.911532458E0,1.398168958E0,-1.304109653E1,-3.634550312E0
1.921491458E0,1.490098882E0,-1.201460729E1,-4.062035571E0
1.931450458E0,1.576903868E0,-1.134045841E1,-3.960108662E0
1.941409458E0,1.471816247E0,-1.097868065E1,-3.738351254E0
1.951368458E0,9.681471037E-1,-1.091164583E1,-3.401496668E0
1.961327458E0,-9.358220145E-2,-1.084802930E1,-4.059442331E0
1.971285458E0,-1.473764393E0,-1.064141325E1,-6.786104824E0
1.981244458E0,-1.289640542E0,-1.044378438E1,-6.680814012E0
1.991203458E0,3.793305141E-1,-9.612503275E0,-3.390199263E0
2.001162458E0,7.763503173E-1,-7.661969197E0,3.655240100E0
2.011121458E0,-3.269365967E0,-9.595608330E-1,1.966878917E1
2.021080458E0,-3.996640311E0,6.563691943E0,9.251473961E0
2.031039458E0,-3.294394389E-1,6.670755047E0,-1.887825731E1
2.040998458E0,-2.099225264E0,1.640050669E1,-1.562690486E1
2.050957458E0,-7.737952595E0,4.138680289E1,6.875862946E-1
2.060915458E0,-1.139712378E1,7.250944084E1,1.101233606E1
2.070874458E0,-3.907303627E0,8.134928018E1,-2.824391686E0
2.080833458E0,6.301244346E0,5.266574976E1,9.158756270E-1
2.090792458E0,9.220415890E-1,2.345340184E1,2.250905546E0
2.100751458E0,-5.350804585E-1,1.564526862E1,8.287011699E-1
2.110710458E0,-5.743586911E-1,1.025500819E1,1.126143256E0
2.120669458E0,-8.896955229E-1,5.644631850E0,3.707228279E-1
2.130628458E0,-1.253713933E0,2.148326088E0,-1.006019885E0
2.140587458E0,-2.091634408E0,-1.199597806E0,-2.241264072E0
2.150545458E0,-2.466483032E0,-4.161049982E0,-2.274309611E0
2.160504458E0,-2.902633279E0,-6.648672452E0,-1.530156110E0
2.170463458E0,-2.944685577E0,-8.879687524E0,-4.731742688E-1
2.180422458E0,-2.770532106E0,-1.070791949E1,-4.497005850E-1
2.190381458E0,-2.601463081E0,-1.205038524E1,-1.077610270E0
2.200340458E0,-2.349468552E0,-1.295617273E1,-1.136175982E0
2.210299458E0,-2.332946806E0,-1.378083246E1,-3.971756681E-1
2.220258458E0,-2.929411772E0,-1.455545989E1,1.778284826E-1
2.230217458E0,-3.542028649E0,-1.472971393E1,6.580105662E-1
2.240176458E0,-3.843441214E0,-1.511596814E1,1.233188306E0
2.250135458E0,-3.861295980E0,-1.595306605E1,1.675415565E0
2.260093458E0,-3.475087970E0,-1.672463423E1,1.705407688E0
2.270052458E0,-2.793018451E0,-1.733951339E1,1.709794854E0
2.280011458E0,-2.177063691E0,-1.741404668E1,1.806124808E0
2.289970458E0,-1.569312136E0,-1.692420437E1,1.538429335E0
2.299929458E0,-5.441576761E-1,-1.589412378E1,1.071191196E0
2.309888458E0,8.845619600E-1,-1.392228830E1,9.583726788E-1
2.319847458E0,2.317619207E0,-1.194571423E1,6.873296750E-1
2.329806458E0,3.470845816E0,-1.072382508E1,5.324828147E-2
2.339765458E0,4.328321280E0,-1.000663017E1,-5.506416535E-1
2.349724458E0,4.590135038E0,-9.501210880E0,-1.178197582E0
2.359683458E0,4.565814714E0,-9.141926376E0,-1.999649520E0
2.369642458E0,4.568811705E0,-8.876883200E0,-2.602146621E0
2.379600458E0,4.710600837E0,-8.469584284E0,-2.658918407E0
2.389559458E0,4.914115809E0,-7.801950370E0,-2.309260758E0
2.399518458E0,5.312287806E0,-6.565236193E0,-1.138637660E0
2.409477458E0,5.912430233E0,-4.617213494E0,1.840724537E0
2.419436458E0,5.966985340E0,-2.544698896E0,5.668166893E0
2.429395458E0,5.918293236E0,8.686266893E-1,1.023095275E1
2.439354458E0,5.734001278E0,4.211341884E0,5.951386138E0
2.449313458E0,3.228876630E0,6.546647310E0,-6.333003498E0
2.459272458E0,2.575952849E-1,1.591241153E1,-1.747200194E1
2.469231458E0,-6.125785777E0,3.569810759E1,-1.572293134E1
2.479190458E0,-1.821250386E1,5.868703001E1,7.944855151E0
2.489149458E0,-2.386012948E1,6.972285433E1,4.632777028E0
2.499107458E0,-3.408951751E1,5.378126753E1,-1.156765124E0
2.509066458E0,-2.069325877E1,2.355166547E1,3.402640969E0
2.519025458E0,-8.357225357E0,1.162579903E1,1.586227692E0
2.528984458E0,-3.870167668E0,7.054949859E0,1.410480562E0
2.538943458E0,-1.320454053E0,3.687310324E0,1.964929923E0
2.548902458E0,2.274270143E-1,1.308403380E0,1.207911962E0
2.558861458E0,1.769885812E0,-7.465128529E-1,-2.209720536E-1
2.568820458E0,3.347640889E0,-2.957880111E0,-1.580445088E0
2.578779833E0,4.721766973E0,-5.333787434E0,-1.666919560E0
2.588738833E0,5.938455606E0,-7.226934013E0,-8.233101833E-1
2.598697833E0,6.068766654E0,-8.640798360E0,-3.265751803E-1
2.608656833E0,5.084052268E0,-1.000262950E1,3.136797309E-2
2.618615833E0,4.047891156E0,-1.155244921E1,1.017302088E0
2.628573833E0,3.178259330E0,-1.323605907E1,3.115000058E0
2.638532833E0,1.633023544E0,-1.371396954E1,4.513168724E0
2.648491833E0,-4.818296463E-1,-1.293792591E1,3.707234126E0
2.658450833E0,-1.929212206E0,-1.240529602E1,2.138855352E0
2.668409833E0,-2.951511909E0,-1.267556486E1,1.179828370E0
2.678368833E0,-3.666606503E0,-1.324667644E1,5.751215700E-1
2.688327833E0,-3.590840621E0,-1.397178264E1,4.598314343E-1
2.698286833E0,-2.710786133E0,-1.422936418E1,5.246834513E-1
2.708245833E0,-1.564033123E0,-1.413059886E1,4.757867682E-1
2.718204833E0,-3.523559196E-1,-1.354896229E1,1.714054258E-1
2.728163833E0,8.094174913E-1,-1.268260139E1,-9.696081767E-1
2.738122833E0,1.391927347E0,-1.220402317E1,-3.015661127E0
2.748081833E0,1.395550136E0,-1.205639851E1,-5.346310415E0
2.758040833E0,1.369407381E0,-1.197623435E1,-7.217474973E0
2.767999833E0,1.394596016E0,-1.233117087E1,-8.084365624E0
2.777957833E0,1.524155405E0,-1.283001555E1,-7.586963453E0
2.787916833E0,2.114023836E0,-1.295077575E1,-5.893540803E0
2.797875833E0,2.856434428E0,-1.333085647E1,-2.798579738E0
2.807834833E0,2.573842881E0,-1.386508382E1,-1.796071106E0
2.817793833E0,1.639963165E0,-1.344522099E1,-1.713483862E0
2.827752833E0,1.529662313E0,-1.053680891E1,-1.383670494E0
2.837711833E0,-3.212992376E-1,-5.174942558E0,8.682169164E0
2.847670833E0,-5.571676725E0,6.120059014E0,1.891072222E1
2.857629833E0,1.050163001E0,9.069571760E0,-1.097498755E1
2.867588833E0,1.549820296E0,1.594520740E1,-1.328449389E1
2.877547833E0,-4.346857538E0,3.747484254E1,5.626521853E0
2.887506833E0,-9.858209124E0,6.656677524E1,1.291881838E1
2.897465833E0,-1.176465870E1,8.311580355E1,-8.503582335E-1
2.907424833E0,-8.262371240E0,6.371621551E1,3.458265531E-1
2.917383833E0,-3.276458932E0,2.901781574E1,4.558156031E0
2.927341833E0,-2.634423251E0,1.822591854E1,4.480013841E0
2.937300833E0,-3.676705229E0,1.076586305E1,2.781285428E0
2.947259833E0,-4.283174635E0,4.815721788E0,2.525879989E-2
2.957218833E0,-4.170631229E0,1.094076029E0,-2.279750445E0
2.967177833E0,-3.795891949E0,-1.611510175E0,-3.025287398E0
2.977136833E0,-3.052459409E0,-3.812104524E0,-2.424359105E0
2.987095833E0,-2.247474400E0,-6.042482834E0,-1.716386420E0
2.997054833E0,-1.453667074E0,-8.393604394E0,-9.536107063E-1
3.007013833E0,-6.751373532E-1,-1.025403990E1,-4.505069160E-1
3.016972833E0,-1.686527760E-1,-1.208772205E1,-7.287595367E-1
3.026931833E0,4.780678767E-1,-1.365551961E1,-7.849968874E-1
3.036890833E0,7.701505145E-1,-1.408258504E1,-3.172149575E-1
3.046849833E0,5.679684153E-1,-1.377592898E1,4.177017430E-2
3.056808833E0,4.917828133E-2,-1.318544557E1,3.205478704E-1
3.066767833E0,-4.432169365E-1,-1.280100283E1,5.633780587E-1
3.076725833E0,-1.020221456E0,-1.317049073E1,6.632473326E-1
3.086684833E0,-1.408081304E0,-1.391019742E1,6.261350548E-1
3.096643833E0,-1.491962682E0,-1.461753159E1,3.528408730E-1
3.106602833E0,-1.416283778E0,-1.520578020E1,1.155257785E-1
3.116561833E0,-1.286377796E0,-1.555400762E1,2.970572662E-1
3.126520833E0,-9.246935206E-1,-1.557879280E1,7.728089511E-1
3.136479833E0,-4.508444466E-1,-1.539319282E1,1.073104405E0
3.146438833E0,2.973668763E-1,-1.471435213E1,9.437265730E-1
3.156397833E0,1.433463044E0,-1.324224659E1,8.005095506E-1
3.166356833E0,2.766242296E0,-1.160256453E1,3.576566764E-1
3.176315833E0,3.719586369E0,-1.050523628E1,-2.494141531E-1
3.186274833E0,4.130947346E0,-9.845513649E0,-8.150679481E-1
3.196233833E0,4.174407361E0,-9.357503276E0,-1.440544606E0
3.206192833E0,4.117344384E0,-8.985247309E0,-1.885089701E0
3.216151833E0,4.134261548E0,-8.636042234E0,-1.845964227E0
3.226110833E0,4.309925939E0,-7.984307485E0,-1.372735031E0
3.236069833E0,4.706243784E0,-6.536905848E0,-1.013679335E-1
3.246028833E0,5.178090114E0,-5.727676345E0,1.798110614E0
3.255986833E0,4.894163355E0,-5.771424043E0,2.079934714E0
3.265945833E0,3.743465521E0,-2.348395003E0,1.036299457E1
3.275904833E0,2.960505511E0,-1.321143293E-1,6.728927241E0
3.285863833E0,1.011163973E0,4.407660395E-1,-6.173396146E0
3.295822833E0,-1.687961351E0,7.582972144E0,-1.400025624E1
3.305781833E0,-6.627154698E0,2.669898542E1,-1.553827861E1
3.315740833E0,-1.657120212E1,5.358004847E1,1.813762441E0
3.325699833E0,-3.254783362E1,7.479457014E1,3.430760229E0
3.335658833E0,-3.601337543E1,6.707137124E1,5.526554712E-1
3.345617833E0,-1.983770119E1,3.412574219E1,7.331237816E0
3.355576833E0,-1.047613352E1,1.345952562E1,6.696530743E0
3.365535833E0,-3.113095620E0,7.966828988E0,4.128758733E0
3.375494833E0,5.178102686E-1,6.192939879E0,4.292989479E0
3.385453833E0,8.676635067E-1,4.681019481E0,1.889735899E0
3.395412833E0,1.043563980E0,2.956257509E0,-7.114073396E-2
3.405370833E0,2.246779020E0,8.503874695E-1,-1.122297031E0
3.415329833E0,3.941863595E0,-2.234411135E0,-7.947932395E-1
3.425288833E0,5.429486473E0,-5.578023877E0,-1.328768063E-1
3.435247833E0,6.716197268E0,-8.244116818E0,-3.019509472E-2
