"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
7.548077000E-3	4.668693244E-1	4.668693244E-1	9.334992409E0
1.053821000E-2	4.979939461E-1	4.836287498E-1	9.390059471E0
1.174303900E-2	5.363011956E-1	5.123591423E-1	9.433155060E0
1.462997900E-2	5.889736414E-1	5.434837937E-1	9.442731857E0
1.595603900E-2	6.368576288E-1	5.674257874E-1	9.428366661E0
1.872144100E-2	6.871358752E-1	5.985504389E-1	9.402029991E0
1.997476900E-2	7.445967197E-1	6.344634295E-1	9.380482674E0
2.281359500E-2	8.092401624E-1	6.536170840E-1	9.346963882E0
2.405773100E-2	8.619126081E-1	6.655880809E-1	9.320627213E0
2.690563300E-2	8.882488012E-1	6.679822803E-1	9.306262016E0
2.858119200E-2	9.097966552E-1	6.775590777E-1	9.318233490E0
3.096078700E-2	9.169792533E-1	6.847416759E-1	9.325415611E0
3.212530800E-2	9.385270476E-1	7.062895298E-1	9.334992409E0
3.501801800E-2	9.888052940E-1	7.326257229E-1	9.346963882E0
3.659350000E-2	1.106121182E0	7.829039693E-1	9.346963882E0
3.908732600E-2	1.177947283E0	8.188169599E-1	9.301473618E0
4.026115400E-2	1.259350061E0	8.571242094E-1	9.210494041E0
4.314463300E-2	1.335964561E0	9.169792533E-1	9.097966194E0
4.444730800E-2	1.393425345E0	9.696516991E-1	8.961497307E0
4.728986400E-2	1.436521053E0	1.010353088E0	8.825027466E0
4.849673100E-2	1.467645645E0	1.051054597E0	8.688557625E0
5.138140200E-2	1.498770237E0	1.086967587E0	8.561665535E0
5.293284600E-2	1.532289028E0	1.110909581E0	8.444349289E0
5.541840200E-2	1.561019540E0	1.120486379E0	8.348581314E0
5.658350000E-2	1.565807939E0	1.120486379E0	8.295908928E0
5.947501800E-2	1.544260144E0	1.118092179E0	8.276755333E0
6.105376900E-2	1.505952835E0	1.113303781E0	8.300697327E0
6.354378700E-2	1.465251446E0	1.094150186E0	8.355764389E0
6.471534600E-2	1.493981838E0	1.082179189E0	8.425195694E0
6.760036400E-2	2.003946781E0	1.115697980E0	8.523358345E0
6.930238500E-2	2.882618904E0	1.058237195E0	8.683769226E0
7.163790200E-2	2.851494312E0	9.696516991E-1	8.717288017E0
7.281850000E-2	2.463633537E0	7.374141216E-1	8.726864815E0
7.569459500E-2	1.958456993E0	5.027823448E-1	8.690952301E0
7.725857700E-2	1.388636947E0	2.346317619E-1	8.676587105E0
7.976282500E-2	1.276109457E0	1.771709323E-1	8.688557625E0
