"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
2.281359500E-2	-3.458422422E-2	-2.793973684E-2	-3.995141983E-1
3.096078700E-2	5.822527409E-2	-1.324772835E-3	-4.194412231E-1
3.908732600E-2	2.701098919E-1	1.105372906E-1	-4.373435974E-1
4.728986400E-2	4.433924556E-1	2.511706352E-1	-9.016227722E-1
5.541840200E-2	4.695774317E-1	2.964114547E-1	-1.362239838E0
6.354378700E-2	3.002380133E-1	2.163158059E-1	-1.341788292E0
7.163790200E-2	1.434462547E0	6.941980124E-2	-9.445953369E-1
7.976282500E-2	-1.422879696E-1	-6.332333684E-1	-9.810743332E-1
8.777065400E-2	-3.714526892E-1	-5.705769062E-1	-6.421298981E-1
9.609201800E-2	1.520568013E0	-5.222827792E-1	-1.641483307E-1
1.042176710E-1	1.436580420E0	-2.729451358E-1	8.568429947E-1
1.123505560E-1	7.087645531E-1	2.223885059E-1	1.051355362E0
1.204915940E-1	-2.697813511E-2	6.095491052E-1	9.537010193E-1
1.286785560E-1	-8.000544310E-1	6.128113270E-1	9.093255997E-1
1.368072870E-1	2.378696442E0	8.579399586E-1	8.476753235E-1
1.449486330E-1	7.427449226E-1	-9.949913025E-1	1.344986916E0
1.530855560E-1	4.272516966E-1	-9.014469385E-1	1.484232903E0
1.612132100E-1	-2.937246561E-1	-9.227494001E-1	1.219321251E0
1.692506540E-1	3.152914047E-1	-6.149128079E-1	6.426324844E-1
1.775445560E-1	5.480103493E-1	-6.507684588E-1	-3.953056335E-1
1.856724790E-1	3.268852234E-1	-6.639327407E-1	-1.232936859E0
1.937613250E-1	1.280219793E0	-3.206362724E-1	-2.068286419E0
2.018883630E-1	7.222735882E-1	-2.430754900E-1	-1.975765705E0
2.100775170E-1	3.974254131E-1	-4.735618830E-2	-2.056133747E0
2.182217860E-1	2.365219593E-1	4.942710996E-1	-1.835732937E0
2.263482860E-1	-2.550866604E-1	7.795524597E-1	-1.747779846E0
2.344888250E-1	-9.206957817E-1	6.882433891E-1	-1.701216698E0
2.426303630E-1	-2.467974901E0	5.039116144E-1	-1.557474136E0
2.507153460E-1	-4.748722553E0	2.943416238E-1	-6.100902557E-1
2.589453630E-1	-6.185492992E0	5.437034369E-2	5.716714859E-1
2.670857480E-1	-6.075771332E0	4.916048050E-2	1.301520348E0
2.752178250E-1	-6.527700424E0	-2.551144361E-2	1.795544624E0
2.833440170E-1	-3.950704098E0	-5.388656259E-1	9.030704498E-1
2.915465170E-1	-5.363717079E-1	-1.077071667E0	3.049573898E-1
2.996736710E-1	1.636785030E0	-1.776639700E0	8.233108521E-1
3.078002860E-1	1.471901655E0	-2.142060518E0	4.326734543E-1
3.158938630E-1	7.880444527E-1	-1.836311698E0	5.304327011E-1
3.239869780E-1	-1.363587379E-1	-1.602220774E0	9.988479614E-1
3.319803850E-1	3.666572571E-1	-1.061131716E0	1.042453766E0
3.403180170E-1	1.187100649E0	-2.332109213E-1	9.913930893E-1
3.484445170E-1	9.480738640E-1	6.749159098E-1	7.945957184E-1
3.565524400E-1	5.573487282E-1	1.170633674E0	6.491527557E-1
3.646935170E-1	2.572712898E-1	1.579529405E0	5.770673752E-1
3.728807090E-1	-9.286141396E-1	1.671785474E0	8.991394043E-1
3.810092860E-1	-2.140277386E0	1.805906057E0	1.622776985E0
3.891504400E-1	-2.204782724E0	2.154866695E0	1.937685966E0
3.972579400E-1	9.729518890E-1	2.000054359E0	8.555316925E-2
4.053845550E-1	-8.520686626E-1	2.529025555E0	2.135419846E-1
4.134703840E-1	-1.376854181E0	1.753822803E0	1.040334702E-1
4.217160930E-1	-6.540751457E-1	7.266494632E-1	-2.867727280E-1
4.298426320E-1	-6.718091965E-1	4.714172482E-1	-3.026123047E-1
4.379436320E-1	-5.881078243E-1	2.765548229E-2	-3.916969299E-1
4.460381320E-1	-4.732811451E-1	9.464108944E-2	-1.700382233E-1
4.542279010E-1	-7.213749886E-1	5.735216737E-1	-5.833339691E-2
4.623722850E-1	-6.698541641E-1	8.240774870E-1	-2.991333008E-1
4.704994780E-1	-5.774312019E-1	8.392091990E-1	-4.005146027E-1
4.786089010E-1	-6.147195101E-1	7.400379181E-1	-4.402952194E-1
4.867043620E-1	-6.086827517E-1	3.965480030E-1	-4.986095428E-1
4.947398840E-1	-4.943782091E-1	7.863640785E-2	-6.443471909E-1
5.030207470E-1	-5.646959543E-1	-1.731352210E-1	-8.769664764E-1
5.111598620E-1	-5.270932913E-1	-3.440008163E-1	-1.077719688E0
5.192686310E-1	-3.837683201E-1	-5.923894644E-1	-1.206027985E0
5.273936700E-1	-3.598792553E-1	-9.078344703E-1	-1.078129768E0
5.355957470E-1	-4.268268347E-1	-1.002708673E0	-1.271450043E0
