"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
2.690563300E-2	-1.271999931E1	-4.134000015E1	-2.015999985E1
3.501801800E-2	8.399999619E0	-3.005999947E1	-2.759999847E1
4.314463300E-2	1.931999969E1	-2.447999954E1	-3.095999908E1
5.138140200E-2	3.011999893E1	-1.860000038E1	-3.450000000E1
5.947501800E-2	3.077999878E1	-1.818000031E1	-3.443999863E1
6.760036400E-2	3.107999992E1	-1.847999954E1	-3.413999939E1
7.569459500E-2	3.084000015E1	-1.835999870E1	-3.443999863E1
8.381955600E-2	3.107999992E1	-1.860000038E1	-3.479999924E1
9.204109500E-2	3.113999939E1	-1.865999985E1	-3.504000092E1
1.001490560E-1	3.119999886E1	-1.823999977E1	-3.563999939E1
1.082746710E-1	3.107999992E1	-1.835999870E1	-3.552000046E1
1.164075940E-1	3.126000023E1	-1.794000053E1	-3.545999908E1
1.245487480E-1	3.119999886E1	-1.763999939E1	-3.509999847E1
1.327709410E-1	3.126000023E1	-1.727999878E1	-3.461999893E1
1.408651330E-1	3.143999863E1	-1.644000053E1	-3.461999893E1
1.490059790E-1	3.084000015E1	-1.626000023E1	-3.534000015E1
1.571429020E-1	3.053999901E1	-1.553999996E1	-3.575999832E1
1.652701710E-1	2.987999916E1	-1.493999958E1	-3.659999847E1
1.735073630E-1	2.963999939E1	-1.493999958E1	-3.720000076E1
1.816025560E-1	2.969999886E1	-1.403999996E1	-3.713999939E1
1.897305560E-1	3.017999840E1	-1.361999989E1	-3.797999954E1
1.978196710E-1	3.011999893E1	-1.319999981E1	-3.881999969E1
2.059466710E-1	2.993999863E1	-1.230000019E1	-3.941999817E1
2.141703250E-1	2.957999992E1	-1.235999966E1	-3.959999847E1
2.222789790E-1	2.879999924E1	-1.169999981E1	-3.941999817E1
2.304057090E-1	2.892000008E1	-1.092000008E1	-3.923999786E1
2.385459020E-1	2.861999893E1	-9.840000153E0	-3.870000076E1
2.466868250E-1	2.850000000E1	-8.760000229E0	-3.870000076E1
2.549080170E-1	2.819999886E1	-8.039999962E0	-3.863999939E1
2.630021710E-1	2.765999985E1	-6.960000038E0	-3.821999741E1
2.711421710E-1	2.735999870E1	-6.480000019E0	-3.827999878E1
2.792747860E-1	2.634000015E1	-5.819999695E0	-3.839999771E1
2.874015940E-1	2.592000008E1	-4.980000019E0	-3.839999771E1
2.956382090E-1	2.561999893E1	-4.319999695E0	-3.815999985E1
3.037310940E-1	2.555999947E1	-2.939999819E0	-3.863999939E1
3.118578250E-1	2.603999901E1	-1.799999952E0	-3.911999893E1
3.199504010E-1	2.634000015E1	-6.599999666E-1	-3.954000092E1
3.280441320E-1	2.621999931E1	2.399999946E-1	-3.984000015E1
3.362672470E-1	2.585999870E1	8.999999762E-1	-3.941999817E1
3.443754400E-1	2.573999977E1	1.979999900E0	-3.911999893E1
3.525017090E-1	2.501999855E1	2.759999990E0	-3.887999725E1
3.606097860E-1	2.501999855E1	3.480000019E0	-3.929999924E1
3.687506700E-1	2.526000023E1	4.380000114E0	-3.954000092E1
3.769724400E-1	2.543999863E1	5.039999962E0	-3.923999786E1
3.850663240E-1	2.585999870E1	5.699999809E0	-3.875999832E1
3.932076320E-1	2.639999962E1	6.719999790E0	-3.809999847E1
4.013152860E-1	2.681999969E1	6.899999619E0	-3.738000107E1
4.094419010E-1	2.718000031E1	7.679999828E0	-3.707999802E1
4.176793240E-1	2.742000008E1	8.699999809E0	-3.702000046E1
4.257734390E-1	2.753999901E1	9.000000000E0	-3.689999771E1
4.339006700E-1	2.759999847E1	9.960000038E0	-3.713999939E1
4.420009390E-1	2.771999931E1	1.043999958E1	-3.671999741E1
4.500954390E-1	2.771999931E1	1.092000008E1	-3.618000031E1
4.583203620E-1	2.771999931E1	1.181999969E1	-3.575999832E1
4.664300160E-1	2.789999962E1	1.271999931E1	-3.491999817E1
4.745566700E-1	2.742000008E1	1.331999969E1	-3.473999786E1
4.826665160E-1	2.784000015E1	1.343999958E1	-3.539999771E1
4.907613240E-1	2.723999977E1	1.373999977E1	-3.491999817E1
4.989845550E-1	2.718000031E1	1.446000004E1	-3.479999924E1
5.070776310E-1	2.700000000E1	1.511999989E1	-3.473999786E1
5.152167080E-1	2.711999893E1	1.583999920E1	-3.455999756E1
5.233255540E-1	2.700000000E1	1.637999916E1	-3.491999817E1
5.314503620E-1	2.657999992E1	1.668000031E1	-3.491999817E1
5.396877470E-1	2.676000023E1	1.727999878E1	-3.443999863E1
5.477804770E-1	2.585999870E1	1.739999962E1	-3.461999893E1
5.559047080E-1	2.597999954E1	1.787999916E1	-3.413999939E1
5.640056700E-1	2.550000000E1	1.823999977E1	-3.413999939E1
5.721314390E-1	2.531999969E1	1.835999870E1	-3.431999969E1
5.803542080E-1	2.555999947E1	1.871999931E1	-3.402000046E1
5.884616700E-1	2.526000023E1	1.871999931E1	-3.420000076E1
5.965885930E-1	2.489999962E1	1.860000038E1	-3.365999985E1
6.047003620E-1	2.526000023E1	1.895999908E1	-3.407999802E1
6.128425540E-1	2.489999962E1	1.877999878E1	-3.413999939E1
6.210649770E-1	2.429999924E1	1.907999992E1	-3.450000000E1
6.291587080E-1	2.435999870E1	1.931999969E1	-3.534000015E1
6.373000920E-1	2.327999878E1	1.895999908E1	-3.552000046E1
6.454110540E-1	2.268000031E1	1.950000000E1	-3.593999863E1
6.535375920E-1	2.273999977E1	1.937999916E1	-3.618000031E1
6.617752850E-1	2.184000015E1	1.931999969E1	-3.629999924E1
6.698688620E-1	2.160000038E1	1.931999969E1	-3.641999817E1
6.779949770E-1	2.118000031E1	1.895999908E1	-3.659999847E1
6.860964000E-1	2.027999878E1	1.860000038E1	-3.684000015E1
6.942225150E-1	1.985999870E1	1.847999954E1	-3.695999908E1
7.024454380E-1	1.955999947E1	1.842000008E1	-3.677999878E1
7.105565540E-1	1.884000015E1	1.805999947E1	-3.720000076E1
7.186852460E-1	1.907999992E1	1.829999924E1	-3.743999863E1
7.267978610E-1	1.884000015E1	1.787999916E1	-3.761999893E1
7.349405920E-1	1.818000031E1	1.745999908E1	-3.815999985E1
7.431627460E-1	1.829999924E1	1.739999962E1	-3.839999771E1
7.512572840E-1	1.745999908E1	1.710000038E1	-3.863999939E1
7.594001690E-1	1.721999931E1	1.721999931E1	-3.918000031E1
7.675114380E-1	1.692000008E1	1.745999908E1	-3.965999985E1
7.756390150E-1	1.710000038E1	1.668000031E1	-4.086000061E1
7.837442460E-1	1.619999886E1	1.619999886E1	-4.127999878E1
7.918395530E-1	1.596000004E1	1.583999920E1	-4.163999939E1
7.999665530E-1	1.511999989E1	1.542000008E1	-4.229999924E1
8.080656300E-1	1.463999939E1	1.517999935E1	-4.241999817E1
8.161922840E-1	1.469999981E1	1.523999977E1	-4.271999741E1
8.244147070E-1	1.403999996E1	1.500000000E1	-4.313999939E1
8.325232070E-1	1.397999954E1	1.493999958E1	-4.331999969E1
8.406163220E-1	1.307999992E1	1.475999928E1	-4.313999939E1
8.487313220E-1	1.223999977E1	1.475999928E1	-4.302000046E1
8.568396300E-1	1.181999969E1	1.463999939E1	-4.337999725E1
8.650616690E-1	1.157999992E1	1.469999981E1	-4.284000015E1
8.731566690E-1	1.157999992E1	1.463999939E1	-4.325999832E1
8.813000150E-1	1.146000004E1	1.439999962E1	-4.337999725E1
8.894156300E-1	1.085999966E1	1.379999924E1	-4.307999802E1
8.975403610E-1	1.007999992E1	1.331999969E1	-4.331999969E1
9.057783220E-1	1.007999992E1	1.296000004E1	-4.368000031E1
9.138718610E-1	9.659999847E0	1.242000008E1	-4.409999847E1
9.219978990E-1	9.599999428E0	1.247999954E1	-4.409999847E1
9.300984380E-1	9.239999771E0	1.223999977E1	-4.463999939E1
9.382248220E-1	9.239999771E0	1.247999954E1	-4.518000031E1
9.464458990E-1	9.119999886E0	1.235999966E1	-4.511999893E1
9.545525910E-1	8.819999695E0	1.200000000E1	-4.529999924E1
9.626775140E-1	8.760000229E0	1.217999935E1	-4.553999710E1
9.707873990E-1	7.980000019E0	1.181999969E1	-4.523999786E1
9.789281680E-1	7.559999943E0	1.193999958E1	-4.518000031E1
9.871492830E-1	7.199999809E0	1.253999996E1	-4.518000031E1
9.952414760E-1	6.480000019E0	1.235999966E1	-4.463999939E1
1.003382322E0	6.000000000E0	1.247999954E1	-4.463999939E1
1.011494514E0	5.940000057E0	1.259999943E1	-4.445999908E1
1.019622476E0	5.460000038E0	1.211999989E1	-4.452000046E1
1.027858591E0	5.159999847E0	1.223999977E1	-4.470000076E1
1.035952899E0	5.400000095E0	1.217999935E1	-4.475999832E1
1.044078245E0	5.519999981E0	1.235999966E1	-4.475999832E1
1.052179322E0	5.579999924E0	1.289999962E1	-4.523999786E1
1.060305360E0	5.579999924E0	1.289999962E1	-4.518000031E1
1.068527168E0	5.339999676E0	1.296000004E1	-4.481999969E1
1.076635245E0	4.739999771E0	1.271999931E1	-4.511999893E1
1.084760706E0	4.920000076E0	1.247999954E1	-4.475999832E1
1.092872706E0	5.400000095E0	1.242000008E1	-4.463999939E1
1.101015129E0	5.279999733E0	1.242000008E1	-4.452000046E1
1.109238706E0	5.579999924E0	1.259999943E1	-4.445999908E1
1.117333706E0	5.159999847E0	1.253999996E1	-4.452000046E1
1.125474244E0	4.920000076E0	1.253999996E1	-4.452000046E1
1.133583360E0	5.159999847E0	1.307999992E1	-4.470000076E1
1.141674783E0	5.039999962E0	1.307999992E1	-4.518000031E1
1.149910321E0	5.519999981E0	1.361999989E1	-4.481999969E1
1.158003475E0	5.579999924E0	1.409999943E1	-4.463999939E1
1.166129937E0	5.339999676E0	1.421999931E1	-4.415999985E1
1.174230706E0	5.339999676E0	1.475999928E1	-4.337999725E1
1.182358129E0	5.339999676E0	1.517999935E1	-4.313999939E1
1.190581398E0	5.400000095E0	1.589999962E1	-4.320000076E1
1.198692052E0	5.519999981E0	1.619999886E1	-4.320000076E1
1.206818090E0	5.159999847E0	1.673999977E1	-4.320000076E1
1.214930590E0	4.799999714E0	1.692000008E1	-4.337999725E1
1.223071244E0	4.259999752E0	1.727999878E1	-4.331999969E1
1.231293129E0	3.899999857E0	1.829999924E1	-4.320000076E1
1.239389321E0	3.839999914E0	1.853999901E1	-4.284000015E1
1.247530590E0	4.139999866E0	1.902000046E1	-4.254000092E1
1.255644590E0	4.259999752E0	1.902000046E1	-4.181999969E1
1.263772282E0	4.799999714E0	1.842000008E1	-4.236000061E1
1.271880513E0	5.400000095E0	1.865999985E1	-4.236000061E1
1.279975052E0	4.619999886E0	1.926000023E1	-4.193999863E1
1.288102475E0	4.500000000E0	1.992000008E1	-4.175999832E1
1.296205090E0	4.319999695E0	2.057999992E1	-4.134000015E1
1.304331282E0	3.659999847E0	2.123999977E1	-4.104000092E1
1.312553551E0	4.019999981E0	2.135999870E1	-4.091999817E1
1.320663282E0	3.720000029E0	2.153999901E1	-4.079999924E1
1.328790013E0	3.779999971E0	2.147999954E1	-4.037999725E1
1.336910474E0	3.539999962E0	2.177999878E1	-4.031999969E1
1.345052205E0	3.119999886E0	2.153999901E1	-4.050000000E1
1.353277782E0	3.779999971E0	2.231999969E1	-4.086000061E1
1.361373513E0	3.480000019E0	2.273999977E1	-4.109999847E1
1.369516474E0	3.179999828E0	2.250000000E1	-4.055999756E1
1.377634667E0	3.480000019E0	2.297999954E1	-4.007999802E1
1.385762090E0	2.819999933E0	2.255999947E1	-3.923999786E1
1.394000128E0	3.059999943E0	2.292000008E1	-3.887999725E1
1.402094705E0	3.599999905E0	2.369999886E1	-3.881999969E1
1.410221628E0	3.599999905E0	2.429999924E1	-3.839999771E1
1.418330705E0	4.139999866E0	2.471999931E1	-3.827999878E1
1.426457705E0	4.199999809E0	2.477999878E1	-3.773999786E1
1.434680974E0	4.019999981E0	2.471999931E1	-3.731999969E1
1.442791743E0	3.659999847E0	2.453999901E1	-3.707999802E1
1.450919705E0	3.659999847E0	2.501999855E1	-3.695999908E1
