"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.208846100E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
1.486622100E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
1.622226900E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
1.895999100E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
2.095061500E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
2.301506800E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
2.453234600E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
2.703410600E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
2.897773100E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
3.104556800E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
3.253742300E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
3.510352900E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
3.713322100E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
3.913537500E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
4.052111500E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
4.307619200E-2	5.060006306E-2	4.229099751E-1	-2.013349831E-1
4.522287500E-2	3.014698327E-1	1.794970632E-1	-2.114549875E-1
4.722526000E-2	3.243730366E-1	1.997370869E-1	-2.135855258E-1
4.863538400E-2	3.451456726E-1	2.178465873E-1	-2.162486911E-1
5.128283700E-2	3.653857112E-1	2.311623842E-1	-2.194444835E-1
5.322323100E-2	3.845604658E-1	2.348908186E-1	-2.237055302E-1
5.532868300E-2	4.021373391E-1	2.370213419E-1	-2.253034264E-1
5.654815400E-2	4.218447208E-1	2.311623842E-1	-2.295644879E-1
5.938602900E-2	4.484763443E-1	2.178465873E-1	-2.327602804E-1
6.135011500E-2	4.644553065E-1	2.008023560E-1	-2.338255495E-1
6.341764400E-2	4.799016416E-1	1.789644361E-1	-2.391518652E-1
6.483588400E-2	4.953479767E-1	1.496696621E-1	-2.364887148E-1
6.742649000E-2	5.065332651E-1	1.230380461E-1	-2.375539690E-1
6.931930700E-2	5.187838078E-1	9.374327213E-2	-2.380866110E-1
7.142352900E-2	5.241101384E-1	6.125270575E-2	-2.311623842E-1
7.269900000E-2	5.251753926E-1	3.249056637E-2	-2.300971150E-1
7.548202900E-2	5.246427655E-1	4.261057824E-3	-2.253034264E-1
7.743761500E-2	5.209143162E-1	-2.183792181E-2	-2.242381722E-1
7.952818300E-2	5.155879855E-1	-4.261057824E-2	-2.210423797E-1
8.090023000E-2	5.044026971E-1	-6.498113275E-2	-2.178465873E-1
8.349230700E-2	4.905542731E-1	-8.628641814E-2	-2.146507949E-1
8.561506700E-2	4.745753109E-1	-1.038632840E-1	-2.114549875E-1
8.746973000E-2	4.591289759E-1	-1.251685768E-1	-2.082591951E-1
8.892180700E-2	4.351605177E-1	-1.454086006E-1	-2.071939409E-1
9.167545200E-2	4.101268053E-1	-1.683117896E-1	-2.050634027E-1
9.370483600E-2	3.850930929E-1	-1.885518134E-1	-2.013349831E-1
9.570779800E-2	3.568635881E-1	-2.077265680E-1	-1.981391907E-1
9.697600000E-2	3.296993375E-1	-2.300971150E-1	-1.922802329E-1
9.976599000E-2	3.051982522E-1	-2.514024079E-1	-1.885518134E-1
1.017224610E-1	2.759034932E-1	-2.716424465E-1	-1.832254827E-1
1.038124520E-1	2.455434501E-1	-2.934803665E-1	-1.768338978E-1
1.055180000E-1	2.141181529E-1	-3.142530024E-1	-1.709749401E-1
