"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
2.026123600E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
2.155861600E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
2.435377400E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
2.569792300E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
2.837623600E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
3.020323100E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
3.239415900E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
3.364888500E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
3.645150500E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
3.832107700E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
4.049719700E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
4.172869300E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
4.438750000E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
4.654703900E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
4.837334600E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
4.982665400E-2	-2.838929892E-1	3.685815036E-1	9.374327064E-1
5.265469700E-2	-5.848301649E-1	-6.977482140E-2	4.506068528E-1
5.452000000E-2	-5.560680628E-1	-6.604639441E-2	4.234426320E-1
5.668708200E-2	-5.246427655E-1	-6.231797114E-2	3.962783813E-1
5.793046200E-2	-4.958806038E-1	-6.231797114E-2	3.723099232E-1
6.074546700E-2	-4.639226794E-1	-6.231797114E-2	3.424825370E-1
6.264196200E-2	-4.308994710E-1	-6.657902896E-2	3.169161677E-1
6.479246700E-2	-3.989415467E-1	-6.817692518E-2	2.849582434E-1
6.622876900E-2	-3.659183383E-1	-7.989483327E-2	2.599245310E-1
6.878615900E-2	-3.323625028E-1	-8.894958347E-2	2.316950262E-1
7.065896200E-2	-3.014698327E-1	-1.001348570E-1	2.039981484E-1
7.278327400E-2	-2.716424465E-1	-1.118527651E-1	1.741707325E-1
7.405034600E-2	-2.423476577E-1	-1.283643693E-1	1.427454352E-1
7.684015900E-2	-2.167813182E-1	-1.379517466E-1	1.086569726E-1
