"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
3.020865400E-2	-2.093999863E1	-3.293999863E1	-1.800000000E1
3.832550000E-2	-8.819999695E0	-3.713999939E1	-1.529999924E1
4.658496700E-2	-4.139999866E0	-3.965999985E1	-1.403999996E1
5.452373100E-2	4.199999869E-1	-4.247999954E1	-1.271999931E1
6.264642300E-2	-2.039999962E0	-4.284000015E1	-1.331999969E1
7.066330800E-2	-2.159999847E0	-4.271999741E1	-1.307999992E1
7.871934600E-2	-1.860000014E0	-4.277999878E1	-1.319999981E1
8.695581300E-2	-9.599999785E-1	-4.236000061E1	-1.313999939E1
9.499284600E-2	-5.399999619E-1	-4.193999863E1	-1.338000011E1
1.030297310E-1	-7.199999690E-1	-4.211999893E1	-1.307999992E1
1.110373460E-1	-7.799999714E-1	-4.200000000E1	-1.296000004E1
1.191609230E-1	-1.019999981E0	-4.241999817E1	-1.277999973E1
1.273440430E-1	-1.259999990E0	-4.247999954E1	-1.265999985E1
1.354434280E-1	-8.999999762E-1	-4.211999893E1	-1.259999943E1
1.434633080E-1	-1.379999995E0	-4.236000061E1	-1.277999973E1
1.514792690E-1	-1.620000005E0	-4.200000000E1	-1.296000004E1
1.595856540E-1	-1.919999957E0	-4.229999924E1	-1.325999928E1
1.677236200E-1	-2.519999981E0	-4.223999786E1	-1.421999931E1
1.757605390E-1	-2.639999866E0	-4.157999802E1	-1.505999947E1
1.837775770E-1	-3.480000019E0	-4.127999878E1	-1.655999947E1
1.918190770E-1	-4.199999809E0	-4.055999756E1	-1.739999962E1
1.998336920E-1	-4.859999657E0	-3.941999817E1	-1.811999893E1
2.080870810E-1	-5.759999752E0	-3.870000076E1	-1.895999908E1
2.161981580E-1	-6.480000019E0	-3.870000076E1	-1.968000031E1
2.241440770E-1	-6.599999905E0	-3.773999786E1	-2.105999947E1
2.321628460E-1	-7.259999752E0	-3.791999817E1	-2.207999992E1
2.402722310E-1	-7.799999714E0	-3.791999817E1	-2.231999969E1
2.484705430E-1	-7.440000057E0	-3.720000076E1	-2.339999962E1
2.565663500E-1	-8.099999428E0	-3.743999863E1	-2.393999863E1
2.646520000E-1	-7.980000019E0	-3.713999939E1	-2.442000008E1
2.725440390E-1	-7.859999657E0	-3.654000092E1	-2.561999893E1
2.806979620E-1	-7.319999695E0	-3.588000107E1	-2.568000031E1
2.888206580E-1	-6.119999886E0	-3.491999817E1	-2.579999924E1
2.969168500E-1	-5.460000038E0	-3.450000000E1	-2.592000008E1
3.048929230E-1	-4.739999771E0	-3.443999863E1	-2.568000031E1
3.129150770E-1	-4.799999714E0	-3.425999832E1	-2.603999901E1
3.210029230E-1	-4.920000076E0	-3.389999771E1	-2.579999924E1
3.291787730E-1	-4.920000076E0	-3.389999771E1	-2.615999985E1
3.372748460E-1	-5.759999752E0	-3.389999771E1	-2.639999962E1
3.452559230E-1	-6.839999676E0	-3.389999771E1	-2.592000008E1
3.533139230E-1	-8.399999619E0	-3.468000031E1	-2.555999947E1
3.613335000E-1	-9.899999619E0	-3.504000092E1	-2.453999901E1
3.695693880E-1	-1.092000008E1	-3.515999985E1	-2.327999878E1
3.775676540E-1	-1.211999989E1	-3.581999969E1	-2.207999992E1
3.856220770E-1	-1.343999958E1	-3.623999786E1	-2.111999893E1
3.936140770E-1	-1.488000011E1	-3.636000061E1	-1.985999870E1
4.017010380E-1	-1.571999931E1	-3.707999802E1	-1.889999962E1
4.099516960E-1	-1.626000023E1	-3.738000107E1	-1.752000046E1
4.179184610E-1	-1.692000008E1	-3.779999924E1	-1.626000023E1
4.261370810E-1	-1.715999985E1	-3.791999817E1	-1.463999939E1
4.340130380E-1	-1.800000000E1	-3.779999924E1	-1.271999931E1
4.420870770E-1	-1.931999969E1	-3.870000076E1	-1.151999950E1
4.503034230E-1	-2.027999878E1	-3.900000000E1	-9.479999542E0
4.583146540E-1	-2.118000031E1	-3.954000092E1	-7.919999599E0
4.663779610E-1	-2.153999901E1	-3.984000015E1	-5.879999638E0
4.743861920E-1	-2.142000008E1	-3.971999741E1	-3.539999962E0
4.824671540E-1	-2.118000031E1	-3.947999954E1	-1.979999900E0
4.907071190E-1	-2.153999901E1	-3.984000015E1	-7.199999690E-1
4.987428840E-1	-2.118000031E1	-4.020000076E1	1.199999973E-1
5.069063490E-1	-2.105999947E1	-4.025999832E1	1.379999995E0
5.148152310E-1	-2.052000046E1	-4.109999847E1	2.819999933E0
5.229828880E-1	-1.943999863E1	-4.086000061E1	4.559999943E0
5.310752340E-1	-1.902000046E1	-4.097999954E1	6.299999714E0
5.391630380E-1	-1.835999870E1	-4.104000092E1	7.139999866E0
5.472599260E-1	-1.776000023E1	-4.037999725E1	7.739999771E0
5.551291920E-1	-1.727999878E1	-4.068000031E1	8.399999619E0
5.633506190E-1	-1.661999893E1	-4.073999786E1	9.300000191E0
5.714380800E-1	-1.583999920E1	-4.109999847E1	1.061999989E1
5.795496950E-1	-1.488000011E1	-4.170000076E1	1.175999928E1
5.876366950E-1	-1.392000008E1	-4.170000076E1	1.259999943E1
5.956354650E-1	-1.350000000E1	-4.211999893E1	1.265999985E1
6.036832690E-1	-1.296000004E1	-4.200000000E1	1.271999931E1
6.118247340E-1	-1.271999931E1	-4.205999756E1	1.277999973E1
6.198075000E-1	-1.277999973E1	-4.218000031E1	1.235999966E1
6.279606540E-1	-1.217999935E1	-4.211999893E1	1.247999954E1
6.360114230E-1	-1.181999969E1	-4.241999817E1	1.146000004E1
6.439849610E-1	-1.188000011E1	-4.265999985E1	1.043999958E1
6.522090410E-1	-1.163999939E1	-4.313999939E1	9.479999542E0
6.602830770E-1	-1.151999950E1	-4.307999802E1	8.340000153E0
6.683605000E-1	-1.200000000E1	-4.295999908E1	7.440000057E0
6.762605000E-1	-1.193999958E1	-4.284000015E1	6.839999676E0
6.843685770E-1	-1.223999977E1	-4.277999878E1	6.119999886E0
6.925923490E-1	-1.242000008E1	-4.289999771E1	4.980000019E0
7.007069640E-1	-1.235999966E1	-4.325999832E1	4.500000000E0
7.086581540E-1	-1.271999931E1	-4.337999725E1	3.599999905E0
7.167165770E-1	-1.301999950E1	-4.337999725E1	2.819999933E0
7.248015380E-1	-1.373999977E1	-4.331999969E1	2.220000029E0
7.329904260E-1	-1.397999954E1	-4.313999939E1	1.500000000E0
7.409989230E-1	-1.427999973E1	-4.284000015E1	1.319999933E0
7.490995380E-1	-1.469999981E1	-4.277999878E1	6.599999666E-1
7.570889610E-1	-1.505999947E1	-4.302000046E1	5.399999619E-1
7.651486150E-1	-1.583999920E1	-4.325999832E1	2.999999821E-1
7.733336540E-1	-1.637999916E1	-4.337999725E1	2.399999946E-1
7.813541540E-1	-1.650000000E1	-4.325999832E1	1.199999973E-1
7.894384230E-1	-1.668000031E1	-4.284000015E1	-2.399999946E-1
7.974982690E-1	-1.668000031E1	-4.236000061E1	-3.599999845E-1
8.055016150E-1	-1.710000038E1	-4.218000031E1	-8.999999762E-1
8.137478870E-1	-1.781999969E1	-4.163999939E1	-6.599999666E-1
8.217106530E-1	-1.818000031E1	-4.134000015E1	-9.599999785E-1
8.298172300E-1	-1.842000008E1	-4.115999985E1	-1.199999928E0
8.378167300E-1	-1.835999870E1	-4.061999893E1	-1.319999933E0
8.458982690E-1	-1.811999893E1	-4.097999954E1	-1.439999938E0
8.541446940E-1	-1.847999954E1	-4.097999954E1	-1.799999952E0
8.620956150E-1	-1.907999992E1	-4.079999924E1	-2.220000029E0
8.702097300E-1	-1.968000031E1	-4.097999954E1	-2.700000048E0
8.781659610E-1	-2.063999939E1	-4.068000031E1	-3.779999971E0
8.862877300E-1	-2.100000000E1	-4.031999969E1	-3.599999905E0
8.945326940E-1	-2.142000008E1	-4.043999863E1	-3.779999971E0
9.024876150E-1	-2.160000038E1	-4.002000046E1	-3.959999800E0
9.107217330E-1	-2.171999931E1	-3.941999817E1	-4.139999866E0
9.185865000E-1	-2.243999863E1	-3.947999954E1	-5.099999905E0
9.266559610E-1	-2.268000031E1	-3.887999725E1	-5.579999924E0
9.349015760E-1	-2.351999855E1	-3.845999908E1	-5.879999638E0
9.428855000E-1	-2.387999916E1	-3.786000061E1	-6.000000000E0
9.509835380E-1	-2.429999924E1	-3.720000076E1	-6.000000000E0
9.590070000E-1	-2.465999985E1	-3.677999878E1	-6.299999714E0
9.670506920E-1	-2.501999855E1	-3.618000031E1	-6.539999962E0
9.752908480E-1	-2.550000000E1	-3.611999893E1	-6.719999790E0
9.833883860E-1	-2.603999901E1	-3.557999802E1	-6.480000019E0
9.914910780E-1	-2.676000023E1	-3.515999985E1	-5.940000057E0
9.994649230E-1	-2.711999893E1	-3.497999954E1	-5.579999924E0
1.007566886E0	-2.777999878E1	-3.431999969E1	-5.219999790E0
1.015668655E0	-2.801999855E1	-3.407999802E1	-5.339999676E0
1.023766001E0	-2.831999969E1	-3.413999939E1	-5.339999676E0
1.031853809E0	-2.855999947E1	-3.365999985E1	-5.759999752E0
1.039810576E0	-2.879999924E1	-3.384000015E1	-5.639999866E0
1.047825923E0	-2.897999954E1	-3.359999847E1	-5.519999981E0
1.056059194E0	-2.939999962E1	-3.300000000E1	-5.460000038E0
1.064170732E0	-2.957999992E1	-3.252000046E1	-5.219999790E0
1.072089038E0	-2.969999886E1	-3.215999985E1	-5.219999790E0
1.080256847E0	-2.963999939E1	-3.119999886E1	-5.099999905E0
1.088220499E0	-3.035999870E1	-3.101999855E1	-4.739999771E0
1.096460192E0	-3.113999939E1	-3.095999908E1	-3.959999800E0
1.104562232E0	-3.185999870E1	-3.047999954E1	-3.839999914E0
1.112582884E0	-3.252000046E1	-3.089999962E1	-3.359999895E0
1.120521192E0	-3.275999832E1	-3.107999992E1	-3.779999971E0
1.128650961E0	-3.227999878E1	-3.107999992E1	-4.019999981E0
1.136841809E0	-3.197999954E1	-3.197999954E1	-4.500000000E0
1.144938424E0	-3.209999847E1	-3.227999878E1	-4.980000019E0
1.153026578E0	-3.107999992E1	-3.227999878E1	-5.339999676E0
1.160894538E0	-3.089999962E1	-3.245999908E1	-6.119999886E0
1.169011653E0	-3.071999931E1	-3.215999985E1	-6.239999771E0
1.177206924E0	-3.029999924E1	-3.173999977E1	-6.119999886E0
1.185268192E0	-3.107999992E1	-3.185999870E1	-5.879999638E0
1.193292538E0	-3.167999840E1	-3.167999840E1	-5.519999981E0
1.201405770E0	-3.227999878E1	-3.101999855E1	-4.739999771E0
1.209357422E0	-3.257999802E1	-3.059999847E1	-4.679999828E0
1.217597308E0	-3.281999969E1	-2.987999916E1	-4.679999828E0
1.225578999E0	-3.293999863E1	-2.939999962E1	-4.619999886E0
1.233686422E0	-3.288000107E1	-2.892000008E1	-4.739999771E0
1.241635192E0	-3.359999847E1	-2.915999985E1	-4.980000019E0
1.249749922E0	-3.395999908E1	-2.885999870E1	-4.859999657E0
1.257954653E0	-3.377999878E1	-2.868000031E1	-4.679999828E0
1.266079885E0	-3.395999908E1	-2.897999954E1	-4.679999828E0
1.274057769E0	-3.347999954E1	-2.826000023E1	-5.039999962E0
1.282152345E0	-3.300000000E1	-2.850000000E1	-5.099999905E0
1.290196422E0	-3.341999817E1	-2.892000008E1	-5.219999790E0
1.298328961E0	-3.336000061E1	-2.921999931E1	-5.219999790E0
1.306382230E0	-3.305999756E1	-3.029999924E1	-5.339999676E0
