"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
6.975077000E-3	1.843535304E-1	-2.992752194E-1	9.023746490E0
9.930611000E-3	5.434837937E-1	-4.189853072E-1	9.200917244E0
1.115788500E-2	1.161187768E0	-6.464344859E-1	9.248801231E0
1.401961100E-2	1.321599364E0	-7.781155705E-1	9.279925346E0
1.522492300E-2	1.072602391E0	-8.451532125E-1	9.457097054E0
1.810826500E-2	7.350199223E-1	-9.481038451E-1	9.674968719E0
1.958300000E-2	4.932055473E-1	-1.067813993E0	9.840168953E0
2.219757300E-2	3.591302633E-1	-1.163581967E0	9.940725327E0
2.386611600E-2	2.609679997E-1	-1.189918280E0	1.000776291E1
2.622776500E-2	2.346317619E-1	-1.161187768E0	1.002212811E1
2.753307700E-2	1.843535304E-1	-1.067813993E0	1.003888798E1
3.028199600E-2	1.244984865E-1	-9.385270476E-1	1.004128170E1
3.196057700E-2	2.873042040E-2	-7.134721279E-1	1.008198357E1
3.435634200E-2	-9.576806799E-3	-6.344634295E-1	1.011310768E1
3.557380800E-2	-8.379705995E-2	-4.836287498E-1	1.016817474E1
3.841065000E-2	-3.112462163E-1	-3.375824392E-1	1.007480049E1
3.992196200E-2	-1.328781962E0	-1.197100878E-1	9.390059471E0
4.234807700E-2	-1.572990537E0	-6.703764945E-2	9.301473618E0
4.363750000E-2	-1.821987510E0	9.097966552E-2	9.358934402E0
4.649215000E-2	-1.867477298E0	3.040636182E-1	9.617507935E0
4.788930800E-2	-1.776497602E0	5.746083856E-1	1.010592556E1
5.041823100E-2	-1.632845521E0	6.919242740E-1	1.055124664E1
5.171942300E-2	-1.434126854E0	7.900865674E-1	1.108515358E1
5.460034200E-2	-1.163581967E0	8.427590132E-1	1.170764637E1
5.623461600E-2	-8.810662031E-1	8.068459630E-1	1.245703125E1
5.865534200E-2	-6.129156351E-1	6.943184733E-1	1.318247414E1
5.983157700E-2	-3.303998411E-1	5.051765442E-1	1.356554699E1
6.270930400E-2	-2.154781483E-2	2.178723514E-1	1.346977901E1
