"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.958300000E-2	5.157887936E-3	-1.116406918E-2	1.028347015E-1
2.753307700E-2	-2.630505860E-1	-1.363098621E-2	2.993335724E-1
3.557380800E-2	-4.600977898E-1	4.917618632E-1	4.174108505E-1
4.363750000E-2	-1.912910461E0	9.336826801E-1	-4.110183716E-1
5.171942300E-2	-1.800292253E0	1.734499454E0	1.330954552E0
5.983157700E-2	-9.831087589E-1	1.539516807E0	3.835465431E0
6.794446200E-2	-2.347248793E-2	2.246644497E-1	2.637759209E0
7.604915400E-2	1.399675369E0	-8.884772062E-1	2.526785851E0
8.420642300E-2	1.955063105E0	-1.084898233E0	2.381074905E0
9.236846200E-2	1.975632071E0	-9.236491919E-1	1.529227257E0
1.004761160E-1	2.006628036E0	-8.704038858E-1	-9.383869171E-2
1.085970390E-1	1.371858954E0	-5.242191553E-1	-4.960079193E-1
1.167132690E-1	1.161119580E0	-1.886735559E-1	-8.672313690E-1
1.248179620E-1	1.040986180E0	2.120053768E-1	-8.129959106E-1
1.330080770E-1	5.230692625E-1	7.372857928E-1	-3.434123993E-1
1.411135390E-1	2.461347580E-1	9.410158396E-1	-1.907730103E-2
1.492246160E-1	-5.041856766E-1	4.870032072E-1	-1.758945465E0
1.573573850E-1	-6.023170948E-1	7.202000022E-1	-3.265124321E0
1.654927310E-1	-3.586463928E-1	6.843756437E-1	-3.147980690E0
1.738745000E-1	-1.125403643E-1	4.505400658E-1	-1.919708252E0
1.817380000E-1	2.643220425E-1	1.540239453E-1	-4.376144409E-1
1.898530770E-1	7.829225063E-1	-2.320954204E-1	4.724960327E-1
1.980053080E-1	6.527546644E-1	-5.077337623E-1	3.836956024E-1
2.061699230E-1	-4.491496086E-2	-4.240245819E-1	6.590480804E-1
2.142751920E-1	-9.822845459E-2	-3.813022375E-2	7.533893585E-1
2.224110770E-1	3.330101967E-1	-7.799416780E-2	8.016490936E-1
2.305105390E-1	3.298221827E-1	-9.600609541E-2	7.997121811E-1
2.388606920E-1	5.149276257E-1	-2.896168232E-1	7.175397873E-1
2.470597310E-1	-5.361390114E-2	-2.307966352E-1	1.721725464E-1
2.551204620E-1	-9.403434992E-1	4.681685567E-1	4.172010422E-1
2.630292690E-1	-5.216115713E-1	2.820351124E-1	-6.323709488E-1
2.711473460E-1	-7.492209673E-1	8.928616643E-1	4.513387680E-1
2.792584620E-1	-6.812805533E-1	8.593158722E-1	6.418714523E-1
2.873949230E-1	-3.085060120E-1	8.361834288E-1	1.191108704E0
2.955842690E-1	7.437813282E-1	1.025939584E-1	1.285444260E0
3.037080390E-1	6.537228823E-1	-1.408299208E-1	1.615062714E0
3.118354230E-1	2.217317820E-1	-9.139534831E-2	1.730635643E0
3.199465390E-1	-4.365538359E-1	-3.384556770E-1	1.468253136E0
3.283263850E-1	-4.459886551E-1	-5.802345872E-1	2.409087181E0
3.362584620E-1	1.220809221E-1	1.444669217E-1	1.813336372E0
3.443858460E-1	1.644228697E-1	3.507035673E-1	1.401638985E0
3.526506920E-1	-9.602260590E-2	4.507221282E-1	6.720600128E-1
3.606440770E-1	-1.657011747E0	-5.645736456E-1	-3.189277649E-2
3.687663080E-1	-1.080471277E0	1.290500164E-2	-1.561720848E0
3.768372310E-1	-7.001194954E-1	3.023906350E-1	-1.491944313E0
3.850771920E-1	-7.555913925E-2	8.407412171E-1	-1.682488918E0
3.930573850E-1	-2.000207901E-1	3.272422552E-1	-1.687154293E0
4.012055380E-1	-5.900802612E-1	1.479020119E-1	-2.223535538E0
4.094130770E-1	-1.696054935E0	3.524593711E-1	-4.298328400E0
4.174679230E-1	-1.941058397E0	7.584725618E-1	-7.403122902E0
4.256236150E-1	-1.348135233E0	1.382000923E0	-5.414778709E0
4.337336540E-1	4.604003429E-1	1.450626373E0	-2.321817875E0
4.418515000E-1	1.905648708E-1	4.380652010E-1	9.975494385E0
4.499982690E-1	-1.276413441E0	8.388335109E-1	9.226218224E0
4.580744620E-1	-4.846595526E-1	-8.489502072E-1	1.619430542E0
4.661615000E-1	1.854557991E-1	-2.082184076E0	1.163297653E0
4.742966540E-1	-7.969964743E-1	-4.217681289E-1	2.917824745E0
4.824075770E-1	-4.635852575E-1	8.464683294E-1	2.749302864E0
4.905221540E-1	9.644163847E-1	1.101142645E0	1.752698898E0
4.987101920E-1	1.753292680E0	1.011134505E0	1.145799637E0
5.068400380E-1	1.703899026E0	9.880357981E-1	2.311620712E-1
5.149358850E-1	1.312477946E0	6.043099165E-1	-9.956598282E-1
5.231059610E-1	1.037884593E0	5.807274580E-2	-7.565574646E-1
5.311653850E-1	1.041977167E0	-2.847973108E-1	1.407918930E-1
5.392558850E-1	1.480905056E0	-2.965141535E-1	7.812709808E-1
5.473788460E-1	1.866050959E0	-2.748665810E-1	4.087591171E-1
5.555438460E-1	2.162191629E0	-2.775171399E-1	-4.072437286E-1
5.637962690E-1	2.140637159E0	-2.142243981E-1	-4.926939011E-1
5.718146920E-1	1.007979393E0	-1.974148154E-1	8.003778458E-1
5.799821150E-1	-6.889539957E-1	-1.214060783E-1	2.111273766E0
5.881243460E-1	-1.027326703E0	-6.341428757E-1	-1.956024170E-1
5.962272310E-1	-1.583943367E-1	-4.827592969E-1	-1.920569420E0
6.043052310E-1	1.375823021E-1	3.431971073E-1	-1.854434967E0
6.124275770E-1	5.611968040E-1	8.615671396E-1	-1.984050751E0
6.206994230E-1	9.587833881E-1	7.334300280E-1	-1.939875603E0
6.287786540E-1	1.029700279E0	3.877591491E-1	-1.758920670E0
6.369279610E-1	1.050692558E0	2.268368006E-2	-1.530404091E0
6.449595770E-1	1.050969124E0	-3.313435316E-1	-1.202570915E0
6.531542310E-1	1.104621649E0	-6.603748798E-1	-9.092197418E-1
6.613439230E-1	9.984426498E-1	-8.617233634E-1	-1.164072037E0
6.693846540E-1	7.982988358E-1	-7.500857711E-1	-1.183186531E0
6.775224610E-1	3.214838505E-1	-9.144583941E-1	-1.184703827E0
6.856416920E-1	1.151044369E-1	-1.028676748E0	-1.432102203E0
6.938223070E-1	-3.376984596E-1	-1.275527120E0	-1.880644798E0
7.019844610E-1	-4.023883343E-1	-1.184169888E0	-1.830019951E0
7.102500380E-1	-6.262021065E-1	-9.776706696E-1	-1.503886223E0
7.182521150E-1	-3.617851734E-1	-7.835279703E-1	-1.746053696E0
7.264154230E-1	-7.635982037E-1	-4.022955596E-1	-2.123085976E0
7.344393460E-1	-7.250006199E-1	-2.097200155E-1	-2.913004398E0
7.426187310E-1	-2.935130596E-1	1.482369900E-1	-2.047637939E0
7.507393460E-1	1.519079208E-1	7.673311830E-1	-9.977340698E-1
7.588566150E-1	4.860811234E-1	4.769736528E-1	-9.277458191E-1
7.670046540E-1	8.839466572E-1	-6.353038549E-2	-1.489107132E0
7.750798070E-1	5.530269146E-1	-2.002358735E-1	-1.782922745E-1
7.831795380E-1	5.505814552E-1	-3.850266337E-1	-6.519622803E-1
