"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
8.142423000E-3	1.833958507E0	3.311181068E0	7.520187378E0
1.097039500E-2	1.826775908E0	3.318363667E0	7.592013359E0
1.223400000E-2	1.841141105E0	3.299209833E0	7.685387611E0
1.506027900E-2	1.855506301E0	3.256114244E0	7.790732384E0
1.635973100E-2	1.867477298E0	3.184288263E0	7.922413349E0
1.914993300E-2	1.910573006E0	3.090914488E0	8.109161377E0
2.057165400E-2	1.968033791E0	2.999934673E0	8.341399193E0
2.323935600E-2	2.006340981E0	2.942473888E0	8.578424454E0
2.482184600E-2	2.027888775E0	2.935291290E0	8.779537201E0
2.732243300E-2	2.044648170E0	2.956839085E0	8.920795441E0
2.852876900E-2	2.051830769E0	2.992752075E0	9.016563416E0
3.138370200E-2	2.054224968E0	3.047818661E0	9.088389397E0
3.295850000E-2	2.032677174E0	3.112462282E0	9.157821655E0
3.541274100E-2	1.987187386E0	3.179499865E0	9.236829758E0
3.662834600E-2	1.934514999E0	3.244143248E0	9.320627213E0
3.946889400E-2	1.900996208E0	3.294421434E0	9.404424667E0
4.105507700E-2	1.896207690E0	3.332728863E0	9.466673851E0
4.336807700E-2	1.920149803E0	3.363853455E0	9.516951561E0
4.478100000E-2	1.963245392E0	3.399766445E0	9.538499832E0
4.758566400E-2	2.003946781E0	3.450044632E0	9.507374763E0
4.922238500E-2	2.023100376E0	3.524264812E0	9.344569206E0
5.161231700E-2	2.025494576E0	3.538630009E0	9.258378029E0
5.283073100E-2	2.032677174E0	3.548206806E0	9.052476883E0
5.566758700E-2	2.049436569E0	3.545812607E0	8.796297073E0
5.730476900E-2	2.059013367E0	3.514688015E0	8.358158112E0
5.972847100E-2	2.054224968E0	3.493140221E0	8.221688271E0
6.094711500E-2	2.047042370E0	3.428496838E0	7.989450932E0
6.378320200E-2	2.059013367E0	3.335123062E0	7.817068577E0
6.538238500E-2	2.111685991E0	3.153163671E0	7.697358608E0
6.784477900E-2	2.133233786E0	3.090914488E0	7.692570210E0
6.905519200E-2	2.193088770E0	2.959233284E0	7.735665798E0
7.189997100E-2	2.329558372E0	2.758120298E0	7.881711960E0
7.351242300E-2	2.434903145E0	2.650381327E0	7.977479935E0
