"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.224976900E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
1.506027900E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
1.641373100E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
1.914993300E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
2.061703900E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
2.323935600E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
2.486026900E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
2.732243300E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
2.856326900E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
3.138370200E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
3.299334600E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
3.541274100E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
3.666830800E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
3.946889400E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
4.109046200E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
4.339992300E-2	2.556634694E-2	3.669835925E-1	-9.960222989E-2
4.487653900E-2	-2.737729549E-1	6.838997602E-1	-1.139832959E-1
4.758566400E-2	-2.609897852E-1	6.657902598E-1	-1.193096191E-1
4.931753900E-2	-2.567287385E-1	6.482134461E-1	-1.278317273E-1
5.161231700E-2	-2.588592768E-1	6.439523697E-1	-1.283643693E-1
5.287676900E-2	-2.663161159E-1	6.386260390E-1	-1.331580579E-1
5.566758700E-2	-2.780340314E-1	6.354302764E-1	-1.358212233E-1
5.734607700E-2	-3.115898669E-1	6.380934119E-1	-1.416801661E-1
5.972847100E-2	-3.339604139E-1	6.391586661E-1	-1.454086006E-1
6.098853900E-2	-3.643204570E-1	6.402239203E-1	-1.480717659E-1
6.378320200E-2	-3.920173049E-1	6.370281577E-1	-1.518001854E-1
6.542157700E-2	-4.170510471E-1	6.285060048E-1	-1.587243974E-1
6.784477900E-2	-4.479437172E-1	6.135923266E-1	-1.661812514E-1
6.909742300E-2	-4.687163532E-1	5.858954787E-1	-1.763012707E-1
7.189997100E-2	-4.889563918E-1	5.512743592E-1	-1.906823367E-1
7.355088500E-2	-5.049353242E-1	5.038700700E-1	-2.066612989E-1
7.597720200E-2	-5.182511806E-1	4.548679292E-1	-2.189118415E-1
7.723946200E-2	-5.251753926E-1	3.984089196E-1	-2.375539690E-1
8.003216300E-2	-5.283711553E-1	3.392867148E-1	-2.551308274E-1
8.166438500E-2	-5.294364095E-1	2.737729549E-1	-2.743056118E-1
8.405469200E-2	-5.320996046E-1	1.997370869E-1	-2.940129936E-1
8.535384600E-2	-5.305017233E-1	1.246359423E-1	-3.036003709E-1
8.814874000E-2	-5.283711553E-1	5.006742850E-2	-3.115898669E-1
8.954230800E-2	-5.161206126E-1	-2.183792181E-2	-3.142530024E-1
9.225839400E-2	-5.022721887E-1	-9.534116834E-2	-3.110572100E-1
9.356250000E-2	-4.852279723E-1	-1.677791476E-1	-3.051982522E-1
9.634885600E-2	-4.649879336E-1	-2.327602804E-1	-2.966761589E-1
9.809292300E-2	-4.426173866E-1	-2.966761589E-1	-2.918824553E-1
1.004250860E-1	-4.186489284E-1	-3.515372574E-1	-2.865561247E-1
1.016800000E-1	-3.936152160E-1	-3.941478431E-1	-2.876214087E-1
1.044805860E-1	-3.627225459E-1	-4.319647253E-1	-2.934803665E-1
1.061810000E-1	-3.185140789E-1	-4.649879336E-1	-3.126551211E-1
1.085425480E-1	-3.020024598E-1	-4.703142643E-1	-3.217098713E-1
1.097958080E-1	-2.695119083E-1	-4.793690145E-1	-3.435477912E-1
1.125976630E-1	-2.348908186E-1	-4.783037305E-1	-3.675162494E-1
1.142271150E-1	-1.917476058E-1	-4.697816372E-1	-4.037352204E-1
1.166277400E-1	-1.747033745E-1	-4.644553065E-1	-4.149205089E-1
1.178836920E-1	-1.475391239E-1	-4.463458061E-1	-4.394215941E-1
1.206837020E-1	-1.123853996E-1	-4.250405133E-1	-4.623247683E-1
1.224037310E-1	-6.657902896E-2	-3.781688809E-1	-4.809668958E-1
1.246580770E-1	-3.728425503E-2	-3.403519988E-1	-4.916195571E-1
1.260408460E-1	-9.587380104E-3	-2.998719513E-1	-4.937500656E-1
1.288152020E-1	2.077265643E-2	-2.471413612E-1	-4.921521842E-1
1.304255000E-1	4.740426689E-2	-1.933455020E-1	-4.921521842E-1
1.328572790E-1	7.723167539E-2	-1.374191195E-1	-4.910869002E-1
1.341903080E-1	1.054611802E-1	-7.989483327E-2	-4.862932265E-1
1.369125860E-1	1.326254308E-1	-1.864212751E-2	-4.873584807E-1
1.385614230E-1	1.619201899E-1	4.154531285E-2	-4.900216460E-1
1.409740480E-1	1.912149638E-1	9.587380290E-2	-4.942827225E-1
1.422974230E-1	2.183792144E-1	1.448759735E-1	-5.017395616E-1
1.450298940E-1	2.428802997E-1	1.805623323E-1	-5.155879855E-1
1.466692690E-1	2.668487430E-1	2.103897333E-1	-5.262406468E-1
1.491082400E-1	2.908172011E-1	2.284992188E-1	-5.438175201E-1
1.503604230E-1	3.153182864E-1	2.402171344E-1	-5.576659441E-1
1.531694320E-1	3.296993375E-1	2.354234457E-1	-5.736449361E-1
1.547847690E-1	3.344930410E-1	2.183792144E-1	-5.874933600E-1
1.571985480E-1	3.254382908E-1	1.805623323E-1	-5.997439027E-1
1.584917310E-1	3.083940744E-1	1.315601617E-1	-6.093312502E-1
1.612545480E-1	2.876214087E-1	7.989483327E-2	-6.210491657E-1
1.631047690E-1	2.668487430E-1	2.503371425E-2	-6.327670813E-1
1.653165860E-1	2.359560728E-1	-4.048004746E-2	-6.476807594E-1
1.666828080E-1	1.928128600E-1	-1.342233270E-1	-6.625944972E-1
1.693725090E-1	1.336906850E-1	-2.663161159E-1	-6.807039976E-1
1.707952310E-1	5.432848632E-2	-4.261057973E-1	-6.956176758E-1
1.734950860E-1	-2.876213938E-2	-5.938849449E-1	-6.961503029E-1
1.748568080E-1	-1.145159304E-1	-7.526093125E-1	-6.913566589E-1
1.775857400E-1	-1.986718178E-1	-9.049421549E-1	-6.844323874E-1
1.793861920E-1	-3.179814517E-1	-1.119060278E0	-6.881608367E-1
1.816485480E-1	-3.563309610E-1	-1.188835144E0	-6.950850487E-1
1.829218080E-1	-4.362258017E-1	-1.324123740E0	-7.147924304E-1
1.857046250E-1	-5.480785370E-1	-1.511077642E0	-7.547398806E-1
1.873718850E-1	-6.221144199E-1	-1.617071390E0	-7.850999236E-1
1.897658170E-1	-6.828345060E-1	-1.711347342E0	-8.143946528E-1
1.910964620E-1	-7.376956344E-1	-1.788046360E0	-8.415589333E-1
1.938211250E-1	-7.819041014E-1	-1.854625463E0	-8.628641963E-1
1.954573080E-1	-8.229168057E-1	-1.912682295E0	-8.836368918E-1
1.978655860E-1	-8.559399843E-1	-1.965945601E0	-8.980179429E-1
1.991923850E-1	-8.836368918E-1	-2.015480280E0	-9.086706042E-1
2.019222010E-1	-8.996158242E-1	-2.056493044E0	-9.171926975E-1
2.037179620E-1	-9.108011127E-1	-2.087918282E0	-9.198558331E-1
2.059739230E-1	-9.097358584E-1	-2.107093096E0	-9.241169095E-1
2.072701920E-1	-9.012137055E-1	-2.117213011E0	-9.289106131E-1
2.100386630E-1	-8.863000274E-1	-2.124137402E0	-9.363674521E-1
2.117278080E-1	-8.660600185E-1	-2.117745638E0	-9.406285286E-1
2.141204320E-1	-8.447546959E-1	-2.096440554E0	-9.486179948E-1
2.154973080E-1	-8.191883564E-1	-2.060221434E0	-9.523464441E-1
2.181762010E-1	-7.914915085E-1	-2.011219263E0	-9.576727748E-1
2.199241920E-1	-7.669904232E-1	-1.952629805E0	-9.582054019E-1
2.222522780E-1	-7.435545921E-1	-1.883920193E0	-9.608685374E-1
2.235266920E-1	-7.291735411E-1	-1.816275954E0	-9.544769526E-1
2.263072400E-1	-7.169229984E-1	-1.747566342E0	-9.496832490E-1
2.279411540E-1	-7.110640407E-1	-1.677791476E0	-9.454222322E-1
2.303677780E-1	-7.121292949E-1	-1.611745119E0	-9.363674521E-1
2.315950770E-1	-7.185208797E-1	-1.552090287E0	-9.289106131E-1
2.344225480E-1	-7.318366766E-1	-1.497761846E0	-9.219864011E-1
2.360654620E-1	-7.616640925E-1	-1.422128081E0	-9.092032313E-1
2.384507400E-1	-7.712514400E-1	-1.399224877E0	-9.028116465E-1
2.397045380E-1	-7.957525253E-1	-1.363538504E0	-8.953547478E-1
2.425056240E-1	-8.186557293E-1	-1.339037418E0	-8.868326545E-1
2.443348460E-1	-8.596684337E-1	-1.323058486E0	-8.857674003E-1
