"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
2.323935600E-2	-1.119599342E-1	-1.642024517E-1	-4.787139893E-1
3.138370200E-2	-5.508351326E-2	-5.090117455E-2	2.642822266E-2
3.946889400E-2	-1.698670387E-1	1.832509041E-1	3.378629684E-1
4.758566400E-2	-4.374289513E-2	3.142161369E-1	4.440450668E-1
5.566758700E-2	-1.565694809E-3	3.499450684E-1	-2.452850342E-1
6.378320200E-2	-2.409863472E-2	7.181644440E-2	-1.193028927E0
7.189997100E-2	2.960760593E-1	-4.767417908E-1	-1.149954796E0
8.003216300E-2	4.042932987E-1	-7.269184589E-1	-8.645343781E-1
8.814874000E-2	3.974702358E-1	-8.070342541E-1	-8.366165161E-1
9.634885600E-2	-3.453154564E-1	-8.816995621E-1	-4.764404297E-1
1.044805860E-1	-2.012634277E-1	-8.808107376E-1	-2.377099991E-1
1.125976630E-1	5.913457870E-1	-8.259897232E-1	-1.410064697E-1
1.206837020E-1	7.712750435E-1	-5.978457928E-1	-1.498155594E-1
1.288152020E-1	2.037041187E-1	-3.113825321E-1	-1.088047028E-1
1.369125860E-1	-1.266369820E-1	-9.816122055E-2	-2.366447449E-2
1.450298940E-1	1.355838776E-1	6.933021545E-2	2.820978165E-1
1.531694320E-1	2.316777706E-1	3.344233036E-1	6.184206009E-1
1.612545480E-1	-1.602103710E-1	4.899718761E-1	-1.083288193E-1
1.693725090E-1	-2.117555141E-1	3.603131771E-1	-5.163621902E-1
1.775857400E-1	-9.236160517E-1	-4.159305096E-1	-1.390994072E0
1.857046250E-1	-2.487254143E-2	-2.836961746E-1	-8.641777039E-1
1.938211250E-1	8.330435753E-1	-2.331402302E-1	-4.808015823E-1
2.019222010E-1	6.712086201E-1	-7.941365242E-2	1.918344498E-1
2.100386630E-1	7.142674923E-1	-1.735363007E-1	9.836282730E-1
2.181762010E-1	1.000928164E0	-7.809829712E-2	1.236481667E0
2.263072400E-1	7.704463005E-1	6.943607330E-2	8.009128571E-1
2.344225480E-1	4.074778557E-1	1.515424252E-1	2.078933716E-1
2.425056240E-1	2.396142483E-1	2.819681168E-2	-1.483125687E-1
2.506367010E-1	6.188073158E-1	-2.876541615E-1	6.679630280E-2
2.588440470E-1	4.987785816E-1	-3.663682938E-1	2.272062302E-1
2.669615090E-1	4.799818993E-1	-5.537258387E-1	1.966180801E-1
2.750941240E-1	1.059644222E0	-6.902557611E-1	6.433486938E-2
2.831810860E-1	1.040436506E0	-7.522886992E-1	-1.320724487E-1
2.912990090E-1	9.710228443E-1	-7.330929041E-1	-1.386337280E-1
2.993834320E-1	1.027813196E0	-7.125172615E-1	2.615404129E-1
3.075021630E-1	1.228569031E0	-9.016062021E-1	1.222402573E0
3.156273930E-1	7.211976051E-1	-5.416626930E-1	9.914979935E-1
3.237272780E-1	6.575508118E-1	-7.649905682E-1	6.923236847E-1
3.318430860E-1	8.082227707E-1	-8.429301381E-1	-4.502964020E-2
3.400394700E-1	2.888398170E-1	-6.985586286E-1	-1.177978516E-1
3.481713550E-1	-3.894953728E-1	-4.766861796E-1	-3.386974335E-2
3.562560860E-1	7.528305054E-2	-1.361074209E0	6.450014114E-1
3.643404320E-1	5.018582344E-1	-2.013602018E0	5.818414688E-1
3.724705470E-1	3.928065300E-1	-2.563545465E0	1.033859253E-1
3.805750090E-1	4.790868759E-1	-2.741055489E0	8.822441101E-3
3.886912390E-1	6.096844673E-1	-2.664378166E0	1.859431267E-1
3.968235470E-1	7.781257629E-1	-2.916116714E0	3.345680237E-2
4.049098160E-1	8.143234253E-1	-3.033216238E0	1.955957413E-1
4.130248160E-1	2.772889137E-1	-2.379884243E0	-8.221006393E-2
4.212315850E-1	5.105161667E-2	-1.620285273E0	9.274864197E-2
4.293467010E-1	-2.835454941E-1	-8.513944149E-1	2.629871368E-1
4.374648540E-1	-8.485083580E-1	-1.637351066E-1	4.450964928E-1
4.455485080E-1	-1.278591633E0	6.964145899E-1	3.123755455E-1
4.536671620E-1	-2.360488892E0	1.640064716E0	-1.578330994E-3
4.617555080E-1	-2.537619591E0	1.813480377E0	-5.836920738E-1
4.698896620E-1	-1.886885166E0	2.334351301E0	-3.173379898E-1
4.780089310E-1	-1.536030769E0	2.718733549E0	-1.395359039E-1
4.860947770E-1	-8.219547272E-1	2.676886559E0	1.157183647E-1
4.942283930E-1	-1.091455460E0	1.944010854E0	8.436560631E-1
5.024350470E-1	-1.414944649E0	2.132245541E0	1.068930149E0
5.105536620E-1	-1.567367554E0	2.173228025E0	6.528801918E-1
5.186871620E-1	-1.308126926E0	2.308162451E0	-1.492118835E-2
5.267731230E-1	-1.083057880E0	2.217969656E0	-3.749532700E-1
5.348890080E-1	-1.097501755E0	1.993896604E0	-7.652354240E-1
5.430014310E-1	-1.079715252E0	2.078071117E0	-6.399335861E-1
5.511174690E-1	-1.148213387E0	2.299425125E0	-1.033291817E-1
5.592015850E-1	-1.466941833E-1	2.152607679E0	2.026486397E-1
5.673015850E-1	-3.743963242E-1	1.645997047E0	2.941951752E-1
5.754199310E-1	-7.088809013E-1	1.254702806E0	1.942806244E-1
5.836130850E-1	-8.016090393E-1	1.018114090E0	-2.707705498E-1
5.917464690E-1	-3.109121323E-1	8.484352827E-1	-5.578904152E-1
5.998658540E-1	-4.556016922E-1	7.280603051E-1	-1.905994415E-1
6.079531610E-1	-7.650156021E-1	5.301812291E-1	2.389440536E-1
6.160868150E-1	-1.027173519E0	-6.164571643E-2	2.371487617E-1
6.241692770E-1	-1.389101028E0	-6.290566921E-2	4.202694893E-1
6.322870460E-1	-7.129116058E-1	-1.375085115E0	3.959708214E-1
6.404603920E-1	-5.051612854E-3	-5.937029719E-1	-2.234363556E-2
6.485473150E-1	-1.352125645E0	-3.965457976E-1	4.939565659E-1
6.566673920E-1	-1.789969921E0	-8.410460353E-1	5.168995857E-1
6.647699300E-1	-2.228952408E0	-1.607542753E0	1.865160465E-1
6.728885460E-1	3.493871689E-1	-1.828907371E0	5.964994431E-3
6.810054690E-1	4.165029526E-1	-1.833175778E0	5.224480629E-1
6.891027000E-1	5.747785568E-1	-1.144255996E0	-3.911836147E-1
6.972190460E-1	1.319787979E0	-6.442462802E-1	-1.398503542E0
7.053294300E-1	2.702623367E0	-5.249038935E-1	-2.691470146E0
7.134616230E-1	2.264513016E0	-1.672824144E0	-4.168940544E0
7.215802380E-1	4.514946938E0	-6.263701320E-1	-4.992900848E0
7.296663530E-1	5.183735847E0	3.910752535E-1	-4.792086124E0
7.377991610E-1	3.081497192E0	-1.482613444E0	-1.369992495E0
7.460320840E-1	2.610745430E0	-3.329477310E0	2.966942549E0
7.541494690E-1	2.775588989E0	-4.124654770E0	4.609539509E0
7.622835070E-1	2.791215897E0	-4.828385830E0	2.958402634E0
7.703699300E-1	3.516941071E0	-5.172420979E0	3.564019203E-1
7.784907760E-1	2.516841888E0	-4.579206467E0	-3.844971657E-1
7.865770840E-1	2.719630241E0	-3.567496538E0	9.255647659E-2
7.946933530E-1	2.708667755E0	-2.640891314E0	6.810927391E-1
8.028170070E-1	2.781427383E0	-1.945289373E0	2.762322426E-1
8.109186610E-1	2.167308807E0	-3.272400379E0	-3.997902870E-1
8.190381220E-1	5.130881310E0	-1.070512772E0	7.578091621E-1
8.272590450E-1	2.744100571E0	-9.757702351E-1	1.734877110E0
8.353906990E-1	4.075348854E0	-8.878827095E-1	1.543764114E0
8.435085840E-1	3.433034897E0	-1.201575160E0	8.234634399E-1
8.515952370E-1	3.154949188E0	-2.075910568E-2	2.058758736E-1
8.597276610E-1	2.029665947E0	1.559039593E0	8.208084106E-2
8.678665070E-1	1.158091068E0	2.224842787E0	-4.369945526E-1
8.759849680E-1	2.310680866E0	4.857749939E-1	-1.416721582E0
8.841178140E-1	2.210725307E0	-1.951352119E0	-1.379161596E0
8.922029300E-1	1.802282333E0	-3.209339857E0	-1.010031223E0
9.003204300E-1	2.158768654E0	-5.285371304E0	-5.851130486E-1
9.085286220E-1	2.187974930E0	-5.539268494E0	-7.071371078E-1
