"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
2.313045900E-2	-2.237999916E1	-3.420000076E1	-1.937999916E1
3.120592100E-2	-1.752000046E1	-3.804000092E1	-1.763999939E1
3.934145900E-2	-1.421999931E1	-4.020000076E1	-1.613999939E1
4.744915200E-2	-1.151999950E1	-4.181999969E1	-1.493999958E1
5.555449800E-2	-1.157999992E1	-4.187999725E1	-1.463999939E1
6.368911300E-2	-1.127999973E1	-4.145999908E1	-1.409999943E1
7.177511300E-2	-1.139999962E1	-4.109999847E1	-1.439999962E1
7.989622800E-2	-1.127999973E1	-4.134000015E1	-1.397999954E1
8.802015100E-2	-1.121999931E1	-4.152000046E1	-1.463999939E1
9.620553600E-2	-1.092000008E1	-4.200000000E1	-1.505999947E1
1.043272280E-1	-1.061999989E1	-4.247999954E1	-1.529999924E1
1.124316510E-1	-9.719999313E0	-4.247999954E1	-1.565999985E1
1.205531130E-1	-8.939999580E0	-4.211999893E1	-1.547999954E1
1.286704970E-1	-8.880000114E0	-4.223999786E1	-1.553999996E1
1.367578050E-1	-8.519999504E0	-4.211999893E1	-1.542000008E1
1.448454200E-1	-8.220000267E0	-4.223999786E1	-1.505999947E1
1.529319590E-1	-8.460000038E0	-4.254000092E1	-1.469999981E1
1.610655360E-1	-7.440000057E0	-4.254000092E1	-1.379999924E1
1.691713820E-1	-6.960000038E0	-4.277999878E1	-1.367999935E1
1.773545740E-1	-6.899999619E0	-4.265999985E1	-1.355999947E1
1.854902280E-1	-5.879999638E0	-4.271999741E1	-1.385999966E1
1.935794200E-1	-5.879999638E0	-4.307999802E1	-1.397999954E1
2.016997660E-1	-5.279999733E0	-4.320000076E1	-1.434000015E1
2.098206890E-1	-4.559999943E0	-4.361999893E1	-1.488000011E1
2.179571890E-1	-4.319999695E0	-4.350000000E1	-1.577999973E1
2.260780350E-1	-3.419999838E0	-4.331999969E1	-1.697999954E1
2.341818430E-1	-3.299999952E0	-4.350000000E1	-1.769999886E1
2.423028050E-1	-3.000000000E0	-4.325999832E1	-1.811999893E1
2.504196120E-1	-3.119999886E0	-4.325999832E1	-1.787999916E1
2.586069580E-1	-3.059999943E0	-4.289999771E1	-1.847999954E1
2.667286890E-1	-2.819999933E0	-4.265999985E1	-1.913999939E1
2.748173430E-1	-3.179999828E0	-4.236000061E1	-2.015999985E1
2.829528810E-1	-2.639999866E0	-4.211999893E1	-2.165999985E1
2.910582280E-1	-2.399999857E0	-4.181999969E1	-2.226000023E1
2.991878810E-1	-1.679999948E0	-4.115999985E1	-2.334000015E1
3.073223430E-1	-1.079999924E0	-4.086000061E1	-2.435999870E1
3.154100740E-1	-1.319999933E0	-4.031999969E1	-2.513999939E1
3.235320740E-1	-1.319999933E0	-3.984000015E1	-2.597999954E1
3.316532660E-1	-1.439999938E0	-3.905999756E1	-2.700000000E1
3.398639580E-1	-1.500000000E0	-3.791999817E1	-2.813999939E1
3.479849200E-1	-1.319999933E0	-3.738000107E1	-2.921999931E1
3.560873430E-1	-1.079999924E0	-3.738000107E1	-3.017999840E1
3.642066500E-1	-1.259999990E0	-3.738000107E1	-2.976000023E1
3.723198040E-1	-7.199999690E-1	-3.809999847E1	-2.976000023E1
3.804255350E-1	5.999999866E-2	-3.845999908E1	-2.892000008E1
3.885451120E-1	0.000000000E0	-3.809999847E1	-2.850000000E1
3.966328810E-1	7.799999714E-1	-3.827999878E1	-2.903999901E1
4.047689960E-1	7.799999714E-1	-3.821999741E1	-2.850000000E1
4.128749190E-1	7.799999714E-1	-3.834000015E1	-2.850000000E1
4.210851500E-1	8.999999762E-1	-3.875999832E1	-2.765999985E1
4.292198420E-1	4.799999893E-1	-3.875999832E1	-2.663999939E1
4.373071120E-1	2.399999946E-1	-3.900000000E1	-2.555999947E1
4.454270730E-1	0.000000000E0	-3.929999924E1	-2.429999924E1
4.535475730E-1	-1.199999973E-1	-3.911999893E1	-2.381999969E1
4.616886500E-1	-6.599999666E-1	-3.977999878E1	-2.303999901E1
4.698070730E-1	-1.199999928E0	-3.965999985E1	-2.292000008E1
4.779093810E-1	-1.620000005E0	-3.947999954E1	-2.292000008E1
4.860284580E-1	-2.039999962E0	-3.977999878E1	-2.285999870E1
4.941438420E-1	-2.159999847E0	-3.984000015E1	-2.255999947E1
5.023369190E-1	-2.279999971E0	-3.971999741E1	-2.255999947E1
5.104569190E-1	-2.220000029E0	-3.971999741E1	-2.261999893E1
5.185417650E-1	-2.700000048E0	-3.977999878E1	-2.237999916E1
5.266739960E-1	-3.240000010E0	-3.959999847E1	-2.250000000E1
5.347791500E-1	-2.939999819E0	-3.995999908E1	-2.243999863E1
5.428822270E-1	-3.299999952E0	-4.037999725E1	-2.261999893E1
5.510180730E-1	-2.579999924E0	-4.020000076E1	-2.261999893E1
5.591059570E-1	-2.220000029E0	-4.020000076E1	-2.279999924E1
5.672264190E-1	-2.460000038E0	-3.995999908E1	-2.279999924E1
5.753478800E-1	-2.039999962E0	-3.977999878E1	-2.303999901E1
5.835580340E-1	-2.220000029E0	-3.965999985E1	-2.387999916E1
5.916776880E-1	-2.159999847E0	-3.923999786E1	-2.460000038E1
5.997803420E-1	-2.099999905E0	-3.893999863E1	-2.513999939E1
6.079006880E-1	-2.939999819E0	-3.852000046E1	-2.579999924E1
