"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
7.605412000E-3	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
8.787116000E-3	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
1.159783500E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
1.353953900E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
1.559437300E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
1.696411600E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
1.965306600E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
2.154203900E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
2.368552700E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
2.492423100E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
2.774379600E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
2.964557700E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
3.179102700E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
3.314388500E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
3.578587300E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
3.761773100E-2	-2.940129936E-1	-8.202536404E-2	-3.408846259E-1
3.954665400E-2	-4.974785149E-1	-5.134574771E-1	-3.446130455E-1
4.104196200E-2	-4.884237647E-1	-5.060006380E-1	-3.408846259E-1
4.353100000E-2	-4.804342687E-1	-4.937500656E-1	-3.392867148E-1
4.571450000E-2	-4.697816372E-1	-4.857605994E-1	-3.371562064E-1
4.787356600E-2	-4.612595141E-1	-4.735100567E-1	-3.302319944E-1
4.912865400E-2	-4.522047639E-1	-4.649879336E-1	-3.254382908E-1
5.193064200E-2	-4.383563101E-1	-4.543353021E-1	-3.201119602E-1
5.394673100E-2	-4.266384244E-1	-4.420847595E-1	-3.158509135E-1
