"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.559437300E-2	1.806273460E-1	-2.153449059E-1	-3.710446358E-1
2.368552700E-2	1.405107975E-1	-2.027873993E-1	-1.874418259E-1
3.179102700E-2	2.531790733E-1	-3.239912987E-1	1.710271835E-1
3.952550000E-2	2.698791027E-1	-4.686999321E-1	3.823657036E-1
4.787356600E-2	1.963167191E-1	-4.686379433E-1	5.581746101E-1
5.598656500E-2	1.363182068E-1	-3.770403862E-1	6.657457352E-1
6.407448900E-2	1.308224201E-1	-2.782983780E-1	6.526908875E-1
7.216210400E-2	1.853942871E-1	-1.817979813E-1	6.006040573E-1
7.990453900E-2	2.260270119E-1	-5.081939697E-2	4.760274887E-1
8.816007700E-2	2.129478455E-1	4.402446747E-2	3.994493484E-1
9.634675800E-2	2.562129498E-1	-5.789852142E-2	2.122793198E-1
1.044489500E-1	2.183306217E-1	-9.333086014E-2	-8.135795593E-2
1.125361420E-1	8.803439140E-2	-1.142115593E-1	-3.485407829E-1
1.204187310E-1	-4.163312912E-2	-8.933877945E-2	-5.338549614E-1
1.286352580E-1	-1.061720848E-1	-5.027484894E-2	-5.422506332E-1
1.367308730E-1	-1.908326149E-1	5.772590637E-3	-3.582878113E-1
1.448179500E-1	-2.581689358E-1	-3.403186798E-3	-6.554317474E-2
1.529210650E-1	-3.085083961E-1	-9.776020050E-2	3.712625504E-1
1.606993460E-1	-3.882453442E-1	-1.177687645E-1	8.520078659E-1
1.689954110E-1	-3.721072674E-1	-3.104066849E-2	1.326162338E0
1.771054110E-1	-2.519998550E-1	4.178524017E-2	1.668999672E0
1.851939880E-1	-5.966711044E-2	-5.143189430E-2	1.691537857E0
1.932813340E-1	4.207611084E-2	-2.248737812E-1	1.509095192E0
2.012068080E-1	-2.283287048E-2	-3.090088367E-1	1.241251945E0
2.093716800E-1	-4.517147541E-1	-3.664135933E-2	1.037718773E0
2.174688340E-1	-5.083336830E-1	-1.514637470E-1	7.974605560E-1
2.255721800E-1	-3.145577908E-1	-2.674956322E-1	5.760593414E-1
2.336596030E-1	-6.243205070E-2	-3.891167641E-1	4.790134430E-1
2.414540390E-1	1.470098495E-1	-5.375552177E-1	3.789901733E-1
2.497518080E-1	3.527443409E-1	-6.969740391E-1	3.068494797E-1
2.578616030E-1	5.737152100E-1	-8.439815044E-1	1.725082397E-1
2.659479110E-1	1.049606562E0	-1.167519331E0	-1.871385574E-1
2.740506800E-1	1.001806021E0	-1.792334914E0	-3.083524704E-1
2.819262310E-1	3.203010559E-2	-2.578874350E0	5.653924942E-1
2.901305260E-1	-1.893329620E-1	-2.288347483E0	4.523286819E-1
2.982447570E-1	-1.292815924E0	-1.485951424E0	1.177664757E0
3.063334490E-1	-1.277641773E0	-4.147381783E-1	9.250783920E-1
3.144217950E-1	-1.029015064E0	-7.441759109E-2	9.098358154E-1
3.223703460E-1	-9.351818562E-1	2.407717705E-2	9.817686081E-1
3.304770770E-1	-6.717071533E-1	-4.077196121E-3	1.335545540E0
3.386092180E-1	-5.828645229E-1	-3.062725067E-2	2.024734497E0
3.467117950E-1	-4.902744293E-1	-1.434552670E-1	2.161734581E0
3.547987570E-1	-4.284498692E-1	-4.606175423E-2	1.864982605E0
3.626641920E-1	-3.484504223E-1	2.640850544E-1	1.992064476E0
3.708990640E-1	-6.188344955E-2	4.853634834E-1	1.999634743E0
3.789934870E-1	3.764228821E-1	2.888021469E-1	1.708358765E0
3.951821800E-1	7.447723150E-1	-1.280881405E0	1.040937424E0
4.029944230E-1	1.049997211E0	-2.131525517E0	5.345516205E-1
4.112125770E-1	1.705895901E0	-2.873606205E0	-4.908409119E-1
4.193701030E-1	2.080120802E0	-3.163583755E0	-1.505504608E0
4.274570260E-1	2.429836273E0	-2.542842388E0	-1.941818237E0
4.355449100E-1	2.450573206E0	-1.363371968E0	-1.987339973E0
4.434506920E-1	1.676007986E0	-7.866517305E-1	-1.922600746E0
4.516356020E-1	4.468953609E-1	-9.647564888E-1	-1.710314274E0
4.597328330E-1	-4.072563648E-1	-1.329409838E0	-1.401412487E0
4.678353330E-1	-1.586302519E0	-1.816480875E0	-1.104252815E0
4.759222180E-1	-3.431087017E0	-1.894921303E0	-5.588121414E-1
4.837489230E-1	-2.860304594E0	-1.678004503E0	-1.520333290E0
4.919757310E-1	-2.875100136E0	-1.911597252E0	-1.421008110E0
5.001220250E-1	-1.682960033E0	-1.745198488E0	-4.434318542E-1
5.082084480E-1	-1.561247110E0	-1.438251019E0	7.082557678E-2
5.163105250E-1	-1.198135376E0	-1.269861221E0	5.011701584E-1
5.241945770E-1	2.414489985E-1	-1.088872075E0	8.133726120E-1
5.323857560E-1	1.601503611E0	-1.580558896E0	8.530969620E-1
5.404667170E-1	1.851853728E0	-1.779784203E0	8.560113907E-1
5.485551790E-1	1.936582327E0	-1.771116614E0	1.915550232E-1
5.566428330E-1	1.409639478E0	-1.548107624E0	-6.007595062E-1
5.644645380E-1	9.652680159E-2	-9.068261385E-1	-1.382316589E0
5.727054230E-1	-1.012778878E0	-3.404018879E-1	-2.155281067E0
5.808347170E-1	-1.214729309E0	-5.463185310E-1	-2.753207684E0
5.970251020E-1	-9.034843445E-1	-4.510813951E-1	-2.283679962E0
6.049329230E-1	-3.127523065E-1	-3.803346157E-1	-1.456423759E0
6.131719860E-1	-8.347907662E-1	6.526833773E-1	-7.920007706E-1
6.212261400E-1	-4.506720603E-1	9.981011152E-1	-4.077472687E-1
6.293132940E-1	1.934719682E-1	1.392393112E-1	1.945924759E-1
6.374151020E-1	1.254951477E0	-1.015109539E0	1.584748268E0
6.453465000E-1	6.762497425E-1	-2.266893387E-1	1.348432541E0
6.534316920E-1	4.170296788E-1	3.104109764E-1	1.058600426E0
6.615954480E-1	7.822571993E-1	2.255455256E-1	4.292612076E-1
6.696809090E-1	6.233513355E-3	6.042858362E-1	-2.238368988E-1
6.777657170E-1	-8.197848797E-1	9.711436033E-1	-8.851909637E-1
6.856510770E-1	-7.300241590E-1	1.207212448E0	-1.072901726E0
6.938562170E-1	1.887249947E-2	8.178067803E-1	-1.207226753E0
7.019525630E-1	7.872730494E-1	1.187214732E0	1.049999237E0
7.100531400E-1	9.545277357E-1	7.066524625E-1	1.393586159E0
7.181384480E-1	1.268689513E0	-1.399214268E-1	1.494814873E0
7.259672690E-1	1.029687047E0	-8.351757526E-1	1.238791466E0
7.423354860E-1	1.407621622E0	-1.901792049E0	5.439548492E-1
7.504222170E-1	8.894426823E-1	-1.704779148E0	3.887948990E-1
7.585238320E-1	1.973906517E0	-1.484941244E0	-1.161993027E0
7.665111780E-1	2.806348324E0	-1.248132467E0	-1.544799328E0
7.745965240E-1	3.016385794E0	-1.033285737E0	-1.097009659E0
7.827079090E-1	1.055645704E0	7.580593228E-1	2.002735138E-1
7.907943320E-1	5.177321434E-1	9.176540375E-1	-1.436758041E-1
7.988809090E-1	7.965579033E-1	1.551446319E-1	-7.153568268E-1
8.067211920E-1	1.595613956E-1	-6.085032225E-2	-1.108096123E0
8.149669860E-1	-7.627203465E-1	2.495295405E-1	-8.697586060E-1
8.230613700E-1	-1.375481844E0	3.803007603E-1	-5.730543137E-1
8.311608320E-1	-1.647426605E0	-6.914532185E-2	-6.637573242E-3
8.392449090E-1	-2.015159607E0	-4.424023628E-2	1.565101624E0
8.472416780E-1	-1.890391827E0	-2.070378959E-1	1.858482361E0
8.553423320E-1	2.159190178E-1	-6.893576384E-1	8.490743637E-1
