"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
5.060077000E-3	-2.681505919E0	3.172317266E0	7.740454197E0
7.860462000E-3	-2.715024710E0	3.205836058E0	7.733271599E0
9.154154000E-3	-2.726995707E0	3.227383852E0	7.745242596E0
1.188768400E-2	-2.717418909E0	3.246537447E0	7.771578789E0
1.365092300E-2	-2.674323320E0	3.258508444E0	7.807491779E0
1.590526000E-2	-2.621650934E0	3.251325846E0	7.843404770E0
1.711892300E-2	-2.578555346E0	3.244143248E0	7.876923561E0
1.996268300E-2	-2.535459518E0	3.236960649E0	7.912836552E0
2.174850000E-2	-2.487575531E0	3.229778051E0	7.963114738E0
2.399291400E-2	-2.425326347E0	3.213018656E0	8.018181801E0
2.516227000E-2	-2.360682964E0	3.191470861E0	8.080430984E0
2.805060700E-2	-2.298433542E0	3.160346270E0	8.169015884E0
2.998500000E-2	-2.217030764E0	3.131615877E0	8.271966934E0
3.208573100E-2	-2.138022184E0	3.117250681E0	8.384494781E0
3.325580800E-2	-2.056619167E0	3.105279684E0	8.497021675E0
3.613146200E-2	-1.956062794E0	3.076549292E0	8.609549522E0
3.796996200E-2	-1.841141105E0	3.040636063E0	8.719682693E0
3.992600000E-2	-1.721431017E0	2.999934673E0	8.839392662E0
4.136430800E-2	-1.594538331E0	2.949656487E0	8.944737434E0
4.410111600E-2	-1.446097851E0	2.899378300E0	9.045293808E0
4.605792300E-2	-1.290474772E0	2.839523315E0	9.136273384E0
4.828383700E-2	-1.134851575E0	2.796427488E0	9.215282440E0
4.957880800E-2	-9.935936928E-1	2.753331900E0	9.282320023E0
5.227419300E-2	-8.547300100E-1	2.698265314E0	9.356540680E0
5.405280800E-2	-7.302315235E-1	2.655169725E0	9.416395187E0
5.627414500E-2	-6.224924326E-1	2.638410330E0	9.449913979E0
5.747319300E-2	-5.267243981E-1	2.650381327E0	9.471462250E0
6.033118300E-2	-4.405331016E-1	2.664746523E0	9.497797966E0
6.212588500E-2	-3.711012602E-1	2.691082716E0	9.512163162E0
6.437641400E-2	-3.208230138E-1	2.736572504E0	9.514557838E0
6.557942300E-2	-2.801215947E-1	2.801215887E0	9.519346237E0
6.843345300E-2	-2.394201756E-1	2.875436306E0	9.545681953E0
7.031788500E-2	-2.035071403E-1	2.968810081E0	9.591172218E0
7.246988500E-2	-1.675941199E-1	3.052607059E0	9.629479408E0
7.364250000E-2	-1.436520964E-1	3.119644880E0	9.665391922E0
7.653099100E-2	-1.364694983E-1	3.174711466E0	9.710882187E0
7.831938500E-2	-1.388636976E-1	3.227383852E0	9.749189377E0
8.029203900E-2	-1.340752989E-1	3.270479441E0	9.780313492E0
8.173753900E-2	-1.029506698E-1	3.306392431E0	9.830592155E0
8.430988500E-2	-6.464344263E-2	3.323152065E0	9.861717224E0
8.641961600E-2	-7.182604820E-2	3.282450438E0	9.811438560E0
8.866226000E-2	-9.576806426E-2	3.229778051E0	9.758766174E0
8.996250000E-2	-1.460463107E-1	3.239354849E0	9.660603523E0
9.266468300E-2	-2.154781520E-1	3.270479441E0	9.538499832E0
9.445038500E-2	-1.628057212E-1	3.129221678E0	9.435548782E0
9.665929900E-2	3.064578176E-1	2.456450939E0	9.181763649E0
9.784727000E-2	6.512228847E-1	1.810016513E0	8.808267593E0
1.006926930E-1	5.482721925E-1	1.728613615E0	8.532935143E0
1.025483850E-1	1.316810995E-1	2.166752577E0	8.180987358E0
1.047469520E-1	-2.250549644E-1	2.432508945E0	7.671022415E0
1.059241930E-1	-3.591302633E-1	2.281674147E0	7.433996201E0
1.087844620E-1	-3.136404157E-1	1.898601890E0	7.613561630E0
1.107377310E-1	-3.734954596E-1	1.594538331E0	8.130708694E0
1.128587600E-1	-5.961562395E-1	1.462857246E0	8.657433510E0
1.140520390E-1	-8.164227605E-1	1.417367458E0	8.949525833E0
1.169149140E-1	-9.097966552E-1	1.323993564E0	8.966285706E0
1.187295770E-1	-9.888052940E-1	1.192312479E0	8.805873871E0
1.206605000E-1	-1.125274777E0	1.084573388E0	8.626308441E0
1.221478850E-1	-1.268926859E0	1.029506683E0	8.475474358E0
1.249258080E-1	-1.355118155E0	1.007958889E0	8.336610794E0
1.268135390E-1	-1.371877551E0	1.019929886E0	8.197746277E0
1.290283850E-1	-1.359906554E0	1.046266198E0	8.075642586E0
1.303255000E-1	-1.331176162E0	1.079784989E0	7.984662533E0
1.330249520E-1	-1.302445769E0	1.113303781E0	7.927201748E0
1.348228460E-1	-1.300051570E0	1.158793569E0	7.898471355E0
1.370361450E-1	-1.304839969E0	1.204283476E0	7.903259754E0
1.382062310E-1	-1.328781962E0	1.242590666E0	7.953537941E0
1.410636540E-1	-1.405396342E0	1.271321058E0	8.054094315E0
1.429071160E-1	-1.546654344E0	1.283292055E0	8.190564156E0
1.451234910E-1	-1.728613615E0	1.285686255E0	8.362946510E0
1.462933080E-1	-1.936909199E0	1.290474772E0	8.556877136E0
1.491794230E-1	-2.154781580E0	1.292868972E0	8.777143478E0
1.510744620E-1	-2.353500366E0	1.297657371E0	9.006986618E0
1.532173080E-1	-2.489969730E0	1.302445769E0	9.200917244E0
1.544166930E-1	-2.537853718E0	1.307234168E0	9.318233490E0
1.572725770E-1	-2.482787132E0	1.304839969E0	9.356540680E0
1.591132700E-1	-2.343923569E0	1.304839969E0	9.337387085E0
1.610546930E-1	-2.145204782E0	1.304839969E0	9.275136948E0
1.624957700E-1	-1.889025092E0	1.316810966E0	9.220070839E0
1.650850000E-1	-1.625662923E0	1.331176162E0	9.193734169E0
1.671803080E-1	-1.398213744E0	1.352723956E0	9.212887764E0
1.694101440E-1	-1.247379065E0	1.393425345E0	9.265560150E0
1.707180770E-1	-1.134851575E0	1.453280449E0	9.346963882E0
1.734068750E-1	-9.959878922E-1	1.472434044E0	9.476250648E0
