"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1.368380800E-2	-3.359999847E1	7.619999886E0	-2.243999863E1
2.176919300E-2	-1.715999985E1	-1.602000046E1	-1.745999908E1
3.000561600E-2	-8.880000114E0	-2.784000015E1	-1.469999981E1
3.799392300E-2	-1.199999973E-1	-3.954000092E1	-1.181999969E1
4.609119300E-2	-2.399999946E-1	-3.971999741E1	-1.247999954E1
5.407661600E-2	-2.399999946E-1	-3.954000092E1	-1.277999973E1
6.215307700E-2	2.399999946E-1	-3.954000092E1	-1.385999966E1
7.033996200E-2	2.399999946E-1	-3.941999817E1	-1.434000015E1
7.834469300E-2	4.799999893E-1	-3.875999832E1	-1.427999973E1
8.644257700E-2	1.799999923E-1	-3.911999893E1	-1.451999950E1
9.447530800E-2	-3.599999845E-1	-3.900000000E1	-1.409999943E1
1.025826160E-1	1.799999923E-1	-3.852000046E1	-1.439999962E1
1.108080390E-1	5.999999642E-1	-3.857999802E1	-1.481999969E1
1.187527700E-1	1.319999933E0	-3.821999741E1	-1.475999928E1
1.268382310E-1	1.799999952E0	-3.852000046E1	-1.535999966E1
1.348485390E-1	1.740000010E0	-3.875999832E1	-1.475999928E1
1.429303080E-1	1.919999957E0	-3.834000015E1	-1.457999992E1
1.510990390E-1	2.099999905E0	-3.821999741E1	-1.493999958E1
1.591390000E-1	2.220000029E0	-3.773999786E1	-1.547999954E1
1.672078080E-1	2.700000048E0	-3.755999756E1	-1.703999901E1
1.752199620E-1	3.000000000E0	-3.768000031E1	-1.769999886E1
1.833196540E-1	2.579999924E0	-3.720000076E1	-1.847999954E1
1.915017310E-1	2.579999924E0	-3.654000092E1	-1.902000046E1
1.994939620E-1	1.799999952E0	-3.605999756E1	-1.919999886E1
2.075988460E-1	1.199999928E0	-3.581999969E1	-2.021999931E1
2.156270770E-1	1.199999928E0	-3.515999985E1	-2.057999992E1
2.237090770E-1	1.199999928E0	-3.455999756E1	-2.111999893E1
2.319202310E-1	1.860000014E0	-3.365999985E1	-2.153999901E1
2.398241930E-1	2.099999905E0	-3.281999969E1	-2.219999886E1
2.479153460E-1	2.159999847E0	-3.293999863E1	-2.268000031E1
2.559138080E-1	2.460000038E0	-3.288000107E1	-2.213999939E1
2.640083460E-1	2.579999924E0	-3.281999969E1	-2.250000000E1
2.722025770E-1	2.700000048E0	-3.318000031E1	-2.219999886E1
2.802123460E-1	3.720000029E0	-3.252000046E1	-2.255999947E1
2.882966540E-1	4.619999886E0	-3.275999832E1	-2.310000038E1
2.964573460E-1	5.400000095E0	-3.270000076E1	-2.303999901E1
3.044101540E-1	6.119999886E0	-3.305999756E1	-2.261999893E1
3.126078080E-1	6.239999771E0	-3.323999786E1	-2.202000046E1
3.205819230E-1	6.000000000E0	-3.318000031E1	-2.195999908E1
3.287135390E-1	6.059999943E0	-3.341999817E1	-2.189999962E1
3.368345770E-1	6.059999943E0	-3.300000000E1	-2.226000023E1
3.447800390E-1	5.879999638E0	-3.329999924E1	-2.219999886E1
3.530566820E-1	4.799999714E0	-3.347999954E1	-2.039999962E1
3.609777690E-1	3.959999800E0	-3.347999954E1	-2.069999886E1
3.690685000E-1	3.179999828E0	-3.389999771E1	-2.063999939E1
3.770850390E-1	3.000000000E0	-3.365999985E1	-2.087999916E1
3.851260770E-1	2.399999857E0	-3.413999939E1	-2.142000008E1
3.933423850E-1	1.679999948E0	-3.473999786E1	-2.069999886E1
4.013079620E-1	1.319999933E0	-3.443999863E1	-2.003999901E1
4.096174510E-1	0.000000000E0	-3.468000031E1	-2.010000038E1
4.175026540E-1	-9.599999785E-1	-3.497999954E1	-1.973999977E1
4.255908080E-1	-1.559999943E0	-3.491999817E1	-1.943999863E1
4.336761920E-1	-2.579999924E0	-3.521999741E1	-1.955999947E1
4.417186150E-1	-3.000000000E0	-3.539999771E1	-1.913999939E1
4.498325770E-1	-3.480000019E0	-3.527999878E1	-1.895999908E1
4.577871540E-1	-3.839999914E0	-3.552000046E1	-1.931999969E1
4.658795000E-1	-4.259999752E0	-3.557999802E1	-1.902000046E1
4.740953460E-1	-4.799999714E0	-3.588000107E1	-1.931999969E1
4.820268850E-1	-5.699999809E0	-3.611999893E1	-1.943999863E1
4.901314230E-1	-6.599999905E0	-3.654000092E1	-1.926000023E1
4.981254230E-1	-7.319999695E0	-3.689999771E1	-1.997999954E1
5.062000000E-1	-7.679999828E0	-3.725999832E1	-1.955999947E1
5.144651150E-1	-8.159999847E0	-3.720000076E1	-1.950000000E1
5.224573850E-1	-8.399999619E0	-3.731999969E1	-1.926000023E1
5.305124230E-1	-8.579999924E0	-3.755999756E1	-1.877999878E1
5.385030380E-1	-9.539999962E0	-3.786000061E1	-1.835999870E1
5.465821920E-1	-9.420000076E0	-3.815999985E1	-1.794000053E1
5.547895000E-1	-9.599999428E0	-3.786000061E1	-1.776000023E1
5.627909230E-1	-1.001999950E1	-3.755999756E1	-1.739999962E1
5.709143460E-1	-1.026000023E1	-3.738000107E1	-1.710000038E1
5.789022310E-1	-1.043999958E1	-3.750000000E1	-1.703999901E1
5.869684620E-1	-1.121999931E1	-3.750000000E1	-1.734000015E1
5.951678080E-1	-1.121999931E1	-3.768000031E1	-1.752000046E1
6.031623080E-1	-1.073999977E1	-3.720000076E1	-1.727999878E1
6.112461920E-1	-1.085999966E1	-3.659999847E1	-1.752000046E1
6.192670770E-1	-1.080000019E1	-3.654000092E1	-1.679999924E1
6.274271540E-1	-1.085999966E1	-3.623999786E1	-1.703999901E1
6.356108350E-1	-1.085999966E1	-3.618000031E1	-1.776000023E1
6.436784230E-1	-1.151999950E1	-3.647999954E1	-1.703999901E1
6.516506540E-1	-1.169999981E1	-3.593999863E1	-1.818000031E1
6.597956040E-1	-1.181999969E1	-3.557999802E1	-1.763999939E1
6.677984230E-1	-1.265999985E1	-3.552000046E1	-1.776000023E1
6.759844120E-1	-1.301999950E1	-3.534000015E1	-1.961999893E1
6.840822960E-1	-1.350000000E1	-3.504000092E1	-1.997999954E1
6.920585770E-1	-1.415999985E1	-3.479999924E1	-2.100000000E1
7.001153850E-1	-1.421999931E1	-3.384000015E1	-2.202000046E1
7.081709610E-1	-1.439999962E1	-3.270000076E1	-2.184000015E1
7.163547190E-1	-1.457999992E1	-3.227999878E1	-2.195999908E1
7.242896150E-1	-1.511999989E1	-3.143999863E1	-2.213999939E1
7.324511150E-1	-1.613999939E1	-3.113999939E1	-2.261999893E1
7.404707690E-1	-1.685999870E1	-3.077999878E1	-2.315999985E1
7.485996920E-1	-1.745999908E1	-3.005999947E1	-2.381999969E1
7.566906420E-1	-1.835999870E1	-2.945999908E1	-2.418000031E1
7.647302310E-1	-1.847999954E1	-2.903999901E1	-2.423999977E1
7.727330380E-1	-1.805999947E1	-2.855999947E1	-2.429999924E1
7.807119610E-1	-1.805999947E1	-2.826000023E1	-2.507999992E1
7.889573730E-1	-1.805999947E1	-2.813999939E1	-2.573999977E1
7.970379610E-1	-1.823999977E1	-2.807999992E1	-2.555999947E1
8.050260000E-1	-1.889999962E1	-2.826000023E1	-2.561999893E1
8.132348730E-1	-1.950000000E1	-2.868000031E1	-2.465999985E1
8.212460270E-1	-1.889999962E1	-2.868000031E1	-2.418000031E1
8.292963080E-1	-1.889999962E1	-2.873999977E1	-2.429999924E1
8.374168340E-1	-1.913999939E1	-2.897999954E1	-2.405999947E1
8.455276030E-1	-1.895999908E1	-2.909999847E1	-2.381999969E1
8.536134500E-1	-1.937999916E1	-2.951999855E1	-2.357999992E1
8.616020260E-1	-2.010000038E1	-3.005999947E1	-2.303999901E1
8.697039880E-1	-2.034000015E1	-3.042000008E1	-2.303999901E1
8.777901420E-1	-2.076000023E1	-3.042000008E1	-2.345999908E1
8.858445770E-1	-2.081999969E1	-2.993999863E1	-2.363999939E1
8.939861800E-1	-2.057999992E1	-2.981999969E1	-2.387999916E1
9.019226540E-1	-2.015999985E1	-2.957999992E1	-2.345999908E1
9.100607570E-1	-1.973999977E1	-2.909999847E1	-2.310000038E1
9.181616030E-1	-2.003999901E1	-2.981999969E1	-2.310000038E1
9.262008840E-1	-2.021999931E1	-2.921999931E1	-2.303999901E1
9.343421030E-1	-2.069999886E1	-2.885999870E1	-2.297999954E1
9.423539490E-1	-2.129999924E1	-2.897999954E1	-2.273999977E1
9.503792690E-1	-2.142000008E1	-2.819999886E1	-2.297999954E1
9.584965000E-1	-2.184000015E1	-2.784000015E1	-2.339999962E1
9.664591150E-1	-2.231999969E1	-2.759999847E1	-2.400000000E1
9.746916030E-1	-2.292000008E1	-2.729999924E1	-2.429999924E1
9.825753840E-1	-2.387999916E1	-2.700000000E1	-2.400000000E1
9.906885000E-1	-2.411999893E1	-2.700000000E1	-2.376000023E1
9.988721030E-1	-2.477999878E1	-2.651999855E1	-2.393999863E1
1.006968641E0	-2.579999924E1	-2.603999901E1	-2.339999962E1
1.015004000E0	-2.615999985E1	-2.543999863E1	-2.339999962E1
1.023052730E0	-2.669999886E1	-2.429999924E1	-2.381999969E1
1.031051615E0	-2.657999992E1	-2.351999855E1	-2.369999886E1
1.039255218E0	-2.729999924E1	-2.292000008E1	-2.387999916E1
1.047229423E0	-2.765999985E1	-2.219999886E1	-2.442000008E1
1.055377538E0	-2.771999931E1	-2.219999886E1	-2.418000031E1
1.063452526E0	-2.826000023E1	-2.165999985E1	-2.435999870E1
1.071538910E0	-2.861999893E1	-2.087999916E1	-2.460000038E1
1.079625603E0	-2.879999924E1	-2.003999901E1	-2.453999901E1
1.087644230E0	-2.945999908E1	-1.907999992E1	-2.519999886E1
1.095813807E0	-2.963999939E1	-1.823999977E1	-2.543999863E1
1.103793192E0	-3.011999893E1	-1.794000053E1	-2.555999947E1
1.111799000E0	-3.053999901E1	-1.739999962E1	-2.592000008E1
1.120005372E0	-3.101999855E1	-1.679999924E1	-2.555999947E1
1.128035423E0	-3.113999939E1	-1.673999977E1	-2.561999893E1
1.136099192E0	-3.143999863E1	-1.661999893E1	-2.555999947E1
1.144078846E0	-3.143999863E1	-1.650000000E1	-2.526000023E1
1.152258307E0	-3.131999969E1	-1.637999916E1	-2.519999886E1
1.160389564E0	-3.167999840E1	-1.619999886E1	-2.495999908E1
1.168331423E0	-3.095999908E1	-1.613999939E1	-2.465999985E1
1.176492307E0	-3.084000015E1	-1.661999893E1	-2.411999893E1
1.184574153E0	-3.077999878E1	-1.673999977E1	-2.429999924E1
1.192682294E0	-3.084000015E1	-1.721999931E1	-2.453999901E1
1.200770794E0	-3.113999939E1	-1.739999962E1	-2.477999878E1
1.208789653E0	-3.137999916E1	-1.739999962E1	-2.537999916E1
1.216939717E0	-3.119999886E1	-1.752000046E1	-2.507999992E1
1.224895038E0	-3.065999985E1	-1.757999992E1	-2.442000008E1
1.232987615E0	-3.059999847E1	-1.776000023E1	-2.400000000E1
1.241123910E0	-2.976000023E1	-1.805999947E1	-2.369999886E1
1.249132346E0	-2.957999992E1	-1.860000038E1	-2.393999863E1
1.257233884E0	-2.963999939E1	-1.895999908E1	-2.423999977E1
1.265316525E0	-2.909999847E1	-1.973999977E1	-2.423999977E1
1.273403871E0	-2.915999985E1	-2.027999878E1	-2.442000008E1
1.281505486E0	-2.915999985E1	-2.100000000E1	-2.411999893E1
1.289567538E0	-2.861999893E1	-2.171999931E1	-2.442000008E1
1.297623153E0	-2.819999886E1	-2.165999985E1	-2.453999901E1
1.305703025E0	-2.735999870E1	-2.213999939E1	-2.453999901E1
1.313790217E0	-2.651999855E1	-2.268000031E1	-2.442000008E1
1.321877294E0	-2.579999924E1	-2.357999992E1	-2.381999969E1
1.329909538E0	-2.495999908E1	-2.442000008E1	-2.357999992E1
1.337963153E0	-2.405999947E1	-2.531999969E1	-2.351999855E1
1.346038615E0	-2.243999863E1	-2.585999870E1	-2.376000023E1
1.354034423E0	-2.093999863E1	-2.603999901E1	-2.429999924E1
1.362256140E0	-1.926000023E1	-2.700000000E1	-2.471999931E1
1.370247038E0	-1.794000053E1	-2.711999893E1	-2.435999870E1
1.378364384E0	-1.703999901E1	-2.771999931E1	-2.453999901E1
1.386334999E0	-1.637999916E1	-2.843999863E1	-2.442000008E1
1.394529717E0	-1.626000023E1	-2.915999985E1	-2.357999992E1
1.402634563E0	-1.571999931E1	-3.011999893E1	-2.376000023E1
1.410687538E0	-1.553999996E1	-3.065999985E1	-2.310000038E1
1.418703384E0	-1.481999969E1	-3.131999969E1	-2.207999992E1
1.426707922E0	-1.511999989E1	-3.179999924E1	-2.135999870E1
1.434828038E0	-1.457999992E1	-3.204000092E1	-2.081999969E1
1.443010140E0	-1.338000011E1	-3.263999939E1	-1.997999954E1
1.450988769E0	-1.284000015E1	-3.270000076E1	-2.034000015E1
1.459163615E0	-1.151999950E1	-3.263999939E1	-2.003999901E1
1.467166293E0	-1.055999947E1	-3.257999802E1	-2.045999908E1
1.475268447E0	-9.599999428E0	-3.215999985E1	-2.177999878E1
1.483312115E0	-8.760000229E0	-3.215999985E1	-2.261999893E1
