"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
6.796807000E-3	-2.322375536E0	2.346317768E0	8.949525833E0
9.708933000E-3	-2.310404539E0	2.303221941E0	9.050082207E0
1.088346100E-2	-2.310404539E0	2.269703150E0	9.145850182E0
1.374743300E-2	-2.308010340E0	2.236184359E0	9.234436035E0
1.492915400E-2	-2.293645144E0	2.209848166E0	9.306262016E0
1.780512500E-2	-2.281674147E0	2.188300371E0	9.366117477E0
1.937046100E-2	-2.255337954E0	2.188300371E0	9.452308655E0
2.186119200E-2	-2.250549555E0	2.193088770E0	9.481039047E0
2.304311500E-2	-2.243366957E0	2.200271368E0	9.538499832E0
2.592274100E-2	-2.240972757E0	2.207453966E0	9.600749016E0
2.774984600E-2	-2.245761156E0	2.233790159E0	9.677363396E0
2.996112500E-2	-2.236184359E0	2.262520552E0	9.703699112E0
3.109834600E-2	-2.233790159E0	2.281674147E0	9.706093788E0
3.401947100E-2	-2.243366957E0	2.300827742E0	9.696516991E0
3.565615400E-2	-2.250549555E0	2.317587137E0	9.682151794E0
3.807819200E-2	-2.243366957E0	2.329558372E0	9.653421402E0
3.924061500E-2	-2.236184359E0	2.346317768E0	9.607931137E0
4.215474100E-2	-2.231395960E0	2.343923569E0	9.562441826E0
4.342550000E-2	-2.231395960E0	2.336740971E0	9.516951561E0
4.602392300E-2	-2.221819162E0	2.336740971E0	9.469067574E0
4.746984600E-2	-2.202665567E0	2.341529369E0	9.416395187E0
5.038835600E-2	-2.188300371E0	2.336740971E0	9.375694275E0
5.191561500E-2	-2.181117773E0	2.327163935E0	9.349357605E0
5.442239400E-2	-2.176329374E0	2.317587137E0	9.351752281E0
5.562623100E-2	-2.173935175E0	2.308010340E0	9.387664795E0
5.847970200E-2	-2.169146776E0	2.298433542E0	9.457097054E0
6.002423100E-2	-2.154781580E0	2.286462545E0	9.533711433E0
6.251574100E-2	-2.133233786E0	2.279279947E0	9.612719536E0
6.365392300E-2	-2.104503393E0	2.284068346E0	9.674968719E0
6.657377900E-2	-2.063801765E0	2.286462545E0	9.727641106E0
6.817219200E-2	-2.001552582E0	2.293645144E0	9.794678688E0
7.062773100E-2	-1.984793186E0	2.298433542E0	9.806650162E0
7.176607700E-2	-1.951274395E0	2.308010340E0	9.832986832E0
7.468627900E-2	-1.927332401E0	2.315192938E0	9.859322548E0
7.635123100E-2	-1.865083098E0	2.308010340E0	9.883264542E0
7.871803800E-2	-1.843535304E0	2.312798738E0	9.890447617E0
7.990757700E-2	-1.800439715E0	2.312798738E0	9.902418137E0
8.278416400E-2	-1.747767210E0	2.303221941E0	9.909601212E0
