"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
6.976654000E-3	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
9.703411000E-3	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
1.113080800E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
1.377248800E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
1.548550000E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
1.779610300E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
1.901750000E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
2.185348800E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
2.347311500E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
2.588714200E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
2.711773100E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
2.994414200E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
3.176480800E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
3.399864200E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
3.519542300E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
3.805575700E-2	-2.545982003E-1	-4.708468914E-1	-8.372978568E-1
3.968280800E-2	-9.326390028E-1	-1.470597625E0	-6.775081754E-1
4.191276900E-2	-9.384979606E-1	-1.491902828E0	-6.764429212E-1
4.333080800E-2	-9.406285286E-1	-1.509479761E0	-6.732471585E-1
4.614794900E-2	-9.384979606E-1	-1.524926066E0	-6.721818447E-1
4.741269200E-2	-9.347695708E-1	-1.539307117E0	-6.753776670E-1
5.024506500E-2	-9.251821637E-1	-1.545166135E0	-6.759102941E-1
5.149638500E-2	-9.134642482E-1	-1.551025033E0	-6.823018789E-1
5.433656500E-2	-9.028116465E-1	-1.551557660E0	-6.897587180E-1
5.597892300E-2	-8.799084425E-1	-1.548894525E0	-7.036072016E-1
5.838633400E-2	-8.713863492E-1	-1.547829270E0	-7.094660997E-1
5.962453800E-2	-8.532768488E-1	-1.545166135E0	-7.217166424E-1
6.244356500E-2	-8.362326026E-1	-1.543035507E0	-7.350324988E-1
6.407888500E-2	-8.058725595E-1	-1.539307117E0	-7.584682703E-1
6.647571900E-2	-7.941546440E-1	-1.537176609E0	-7.648598552E-1
6.768507700E-2	-7.728493810E-1	-1.535578728E0	-7.813714743E-1
7.053218000E-2	-7.483482957E-1	-1.532915592E0	-7.957525253E-1
7.226007700E-2	-7.158577442E-1	-1.528121829E0	-8.213189244E-1
7.459610300E-2	-7.062703371E-1	-1.527589202E0	-8.282431364E-1
7.578300000E-2	-6.865629554E-1	-1.521197677E0	-8.474178910E-1
7.865268000E-2	-6.578007936E-1	-1.511077642E0	-8.729842305E-1
