"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.547803900E-2	5.492975712E-1	-6.498527527E-1	-9.497342110E-1
2.345573100E-2	6.280839443E-1	-6.386008263E-1	-7.223320007E-1
3.174576900E-2	7.358541489E-1	-5.875601768E-1	-2.955498695E-1
3.966026900E-2	8.696863651E-1	-6.026644707E-1	1.665735245E-1
4.739380800E-2	9.308221340E-1	-5.633974075E-1	6.842522621E-1
5.595761500E-2	1.200481653E0	-6.496829987E-1	1.143185616E0
6.405542300E-2	1.341608524E0	-7.079620361E-1	1.554033279E0
7.224169200E-2	1.441200972E0	-7.074084282E-1	1.890758514E0
8.024200000E-2	9.852781296E-1	-4.338264465E-1	1.578587532E0
8.820711500E-2	1.033007503E0	-3.938109875E-1	1.386313438E0
9.644369200E-2	1.141509295E0	-4.358417988E-1	1.121112823E0
1.045697310E-1	1.158398986E0	-4.764759541E-1	9.331321716E-1
1.127486920E-1	9.742010832E-1	-5.749514103E-1	8.288316727E-1
1.207830770E-1	7.018179893E-1	-6.279258728E-1	8.783788681E-1
1.285537690E-1	4.265985489E-1	-6.686971188E-1	8.896141052E-1
1.371573080E-1	1.495375633E-1	-6.070528030E-1	8.802585602E-1
1.451521540E-1	7.450072765E-1	-9.015986919E-1	-8.461189270E-2
1.533728080E-1	3.469581604E-1	-1.354700923E0	1.480951309E-1
1.613634610E-1	2.091441154E-1	-1.341555357E0	1.075836182E0
1.693346920E-1	4.477803707E-1	-9.238214493E-1	7.930192947E-1
1.775824230E-1	1.602334976E-1	-1.187399745E0	1.778191566E0
1.856886920E-1	-6.743526459E-1	-1.053737521E0	1.900635719E0
1.938908460E-1	-9.285930395E-1	-4.537147284E-1	1.282554626E0
2.019437310E-1	-4.528796673E-1	-1.301913261E-1	1.023076057E0
2.097175770E-1	3.116320372E-1	-2.265501022E-2	5.194053650E-1
2.182268080E-1	1.173918962E0	1.381978989E-1	-2.149972916E-1
2.246730640E-1	1.503492117E0	1.746209860E-1	-2.577610016E-1
2.263291150E-1	1.675874591E0	5.012238026E-2	-3.343753815E-1
2.345454610E-1	1.795840025E0	1.051710844E-1	-1.211123466E0
2.425770000E-1	1.577774048E0	9.405994415E-2	-1.530289650E0
2.504894230E-1	5.095615983E-1	-8.454838991E-1	-1.301132202E0
2.587410000E-1	-7.277619839E-2	-9.496861696E-1	-7.043123245E-1
2.668426540E-1	-3.158361912E-1	-6.665762663E-1	-8.327341080E-1
2.750421920E-1	-1.772024632E-1	-3.297684193E-1	-1.079756737E0
2.830266150E-1	-3.309664726E-1	-3.367874622E-1	-9.555091858E-1
2.907672310E-1	-6.034809351E-1	-5.343661308E-1	-8.451461792E-1
2.993718840E-1	-4.575591087E-1	-1.024525166E0	-8.399162292E-1
3.057653330E-1	-4.428023100E-1	-1.709256411E0	-1.089357376E0
3.074807310E-1	-5.050514936E-1	-1.931917071E0	-1.127664566E0
3.155856540E-1	-9.474077225E-1	-2.642817497E0	-1.324506760E0
3.236550770E-1	-1.241538763E0	-2.432720184E0	-1.728955746E0
3.315750380E-1	-1.610442400E0	-1.751441956E0	-1.343292236E0
3.398103460E-1	-1.796945810E0	-8.459476829E-1	-6.051445007E-1
3.462656790E-1	-2.031953096E0	-2.987018228E-1	8.847236633E-3
3.479170000E-1	-2.101385355E0	-1.861743927E-1	2.075653076E-1
3.561330000E-1	-2.577416420E0	2.353359461E-1	1.075082779E0
3.641249610E-1	-2.900243282E0	4.612469673E-1	1.869054794E0
3.718812310E-1	-3.168912411E0	4.367355108E-1	3.240172386E0
3.804093460E-1	-1.884840131E0	4.063534737E-2	4.045614243E0
3.887765380E-1	-4.226397276E-1	-3.571938276E-1	2.978526115E0
3.967758460E-1	2.892427444E-1	-7.835257053E-2	3.245372772E0
4.047726540E-1	2.657408237E0	4.932398796E-1	3.459070206E0
4.126533840E-1	3.854065180E0	6.638026237E-1	3.620696068E0
4.210042690E-1	4.162649632E0	6.110068560E-1	2.208849907E0
4.274038710E-1	2.629787683E0	2.465145588E-1	2.950048447E-1
4.290555000E-1	2.071938753E0	2.991869450E-1	-2.580556870E-1
4.372598460E-1	-9.060193300E-1	1.293634415E0	-2.666587830E-1
4.452611920E-1	-4.665750265E-1	1.078873158E0	-7.465496063E-1
4.531984230E-1	1.262539387E0	2.070312500E-1	-1.491227150E0
4.615947310E-1	1.859702110E0	3.709959984E-2	-1.647172928E0
4.702037690E-1	1.816154242E0	8.418107033E-2	-1.099914074E0
4.777673460E-1	1.518402338E0	-3.535988331E-1	-1.738014221E-1
4.858142300E-1	1.532447815E0	-1.077093363E0	1.287805557E0
4.937420770E-1	1.730486393E0	-1.097131491E0	1.781939507E0
5.020992690E-1	2.414372921E0	-1.148199797E0	1.516162872E0
5.101934230E-1	2.886919022E0	-1.022426367E0	1.337177277E0
5.182913840E-1	2.389149666E0	8.433246613E-2	1.160294533E0
5.262069610E-1	1.456005573E0	3.599929810E-1	1.093963623E0
5.340855380E-1	1.006748676E0	-1.145672798E-1	5.101523399E-1
5.425690000E-1	5.831637383E-1	-1.263079643E0	-5.235671997E-2
5.507344610E-1	3.178310394E-2	-2.133971691E0	-7.230863571E-1
5.589565000E-1	-8.535923958E-1	-2.148244619E0	-7.770967484E-1
5.669501540E-1	-9.646329880E-1	-1.876098394E0	-7.608356476E-1
5.747966530E-1	-1.304324150E0	-1.410537481E0	-7.881226540E-1
5.830275770E-1	-1.516991138E0	-1.383170605E0	-7.698402405E-1
5.917396920E-1	-1.123792171E0	-1.770425081E0	-6.848640442E-1
5.993191920E-1	-1.194983959E0	-1.779424429E0	-4.571595192E-1
6.073124230E-1	-1.248126507E0	-1.541772366E0	-2.500119209E-1
6.151039610E-1	-1.019405365E0	-1.564394951E0	-9.757661819E-2
6.236544610E-1	-1.243804932E0	-1.570104122E0	1.709837914E-1
6.300717160E-1	-1.498532772E0	-1.721875668E0	4.295630455E-1
6.316972300E-1	-1.498532772E0	-1.784124851E0	4.415340424E-1
6.399129230E-1	-1.582135677E0	-2.023415565E0	7.199010849E-1
6.480707300E-1	-1.557884693E0	-2.103421211E0	6.613841057E-1
6.558962300E-1	-1.851511955E0	-1.887490749E0	4.586036205E-1
6.641370380E-1	-1.861066341E0	-1.769424438E0	4.132652283E-2
6.723347300E-1	-1.418509960E0	-1.823816776E0	-7.362859249E-1
6.804121530E-1	-1.123734474E0	-1.562231064E0	-7.160668373E-1
6.885875000E-1	-1.086343765E0	-1.267965317E0	-1.223707199E-2
6.962354230E-1	-1.140847206E0	-1.105210304E0	7.709414959E-1
7.047628070E-1	-1.363327026E0	-1.225693226E0	1.526252747E0
7.129330000E-1	-9.787235260E-1	-1.634588718E0	2.064235210E0
7.210560000E-1	-5.838050842E-1	-1.950755119E0	2.461266041E0
7.290878840E-1	-1.449060440E-2	-2.097217083E0	2.924467802E0
7.371105380E-1	5.920605659E-1	-2.104824543E0	3.116642475E0
7.452150760E-1	1.059616089E0	-1.793394566E0	3.283075809E0
7.533283460E-1	1.146159172E0	-1.504528046E0	3.508431435E0
7.625964230E-1	3.441820145E-1	-1.241436481E0	3.111515999E0
7.707888460E-1	-7.593488693E-1	-1.140751362E0	2.769049168E0
7.785330000E-1	-2.497563362E0	-1.135260105E0	1.425751448E0
7.870110380E-1	-3.029444695E0	-1.289771557E0	2.857131362E-1
7.953959610E-1	-3.118696690E0	-1.032210827E0	1.066045761E0
8.031688840E-1	-2.113046646E0	-8.766765594E-1	1.482965589E0
8.111959230E-1	-1.124687195E0	-9.950361252E-1	2.004453897E0
8.192501530E-1	-2.684235573E-1	-1.336304188E0	2.151977539E0
8.274474610E-1	2.505068779E-1	-1.570905209E0	1.687990546E0
8.356652300E-1	3.733725548E-1	-1.300411701E0	1.356252909E0
8.437561150E-1	1.024894238E0	-1.316254616E0	2.026879787E0
8.518032690E-1	1.611496449E0	-1.528016567E0	1.696795940E0
8.596069230E-1	1.498228550E0	-1.576414585E0	1.141506791E0
8.680533840E-1	3.905248642E-1	-1.136152267E0	9.110122919E-1
8.761696530E-1	-2.595376968E-1	-6.792407036E-1	3.094261587E-1
8.844524990E-1	-9.012098312E-1	-3.340086937E-1	-1.036506295E-1
8.924178070E-1	-1.676773548E0	-2.335176468E-1	-1.641163230E-2
9.002991920E-1	-1.832777977E0	-2.856559753E-1	2.092494816E-1
9.086621530E-1	-1.451156139E0	-3.594508171E-1	3.664614558E-1
9.167689990E-1	-8.852548599E-1	-4.620862007E-1	9.782416821E-1
9.248785760E-1	-4.109849930E-1	-7.286086082E-1	1.180767059E0
9.329598070E-1	6.104135513E-2	-9.556021690E-1	1.148705721E0
9.406718460E-1	6.870613098E-1	-8.559865952E-1	1.865357757E0
9.491201530E-1	1.973532677E0	-4.333024025E-1	2.866881371E0
9.574251920E-1	2.429697037E0	-2.211680412E-1	2.644644022E0
9.637119080E-1	2.608670712E0	-4.787826538E-2	2.502213955E0
9.654754220E-1	2.673313618E0	-2.393627167E-2	2.468694925E0
