"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1.377248800E-2	-2.573999977E1	-2.351999855E1	-2.579999924E1
2.185348800E-2	-2.165999985E1	-2.742000008E1	-2.460000038E1
2.994414200E-2	-1.902000046E1	-2.976000023E1	-2.442000008E1
3.805575700E-2	-1.685999870E1	-3.179999924E1	-2.453999901E1
4.614794900E-2	-1.613999939E1	-3.221999741E1	-2.447999954E1
5.433656500E-2	-1.602000046E1	-3.192000008E1	-2.471999931E1
6.244356500E-2	-1.668000031E1	-3.185999870E1	-2.453999901E1
7.053218000E-2	-1.668000031E1	-3.185999870E1	-2.435999870E1
7.865268000E-2	-1.650000000E1	-3.179999924E1	-2.453999901E1
8.675802600E-2	-1.655999947E1	-3.155999947E1	-2.453999901E1
9.486821900E-2	-1.637999916E1	-3.137999916E1	-2.477999878E1
1.029616800E-1	-1.613999939E1	-3.150000000E1	-2.465999985E1
1.110668720E-1	-1.637999916E1	-3.204000092E1	-2.489999962E1
1.191972570E-1	-1.626000023E1	-3.221999741E1	-2.495999908E1
1.272865650E-1	-1.602000046E1	-3.245999908E1	-2.489999962E1
1.354798340E-1	-1.596000004E1	-3.257999802E1	-2.489999962E1
1.435709880E-1	-1.571999931E1	-3.257999802E1	-2.477999878E1
1.516616410E-1	-1.571999931E1	-3.252000046E1	-2.477999878E1
1.597743340E-1	-1.488000011E1	-3.215999985E1	-2.423999977E1
1.678638340E-1	-1.421999931E1	-3.221999741E1	-2.460000038E1
1.759720640E-1	-1.367999935E1	-3.173999977E1	-2.453999901E1
1.840789870E-1	-1.331999969E1	-3.179999924E1	-2.519999886E1
1.921710260E-1	-1.313999939E1	-3.185999870E1	-2.555999947E1
2.002936800E-1	-1.343999958E1	-3.155999947E1	-2.597999954E1
2.083973720E-1	-1.343999958E1	-3.185999870E1	-2.615999985E1
2.165817570E-1	-1.296000004E1	-3.192000008E1	-2.639999962E1
2.246730640E-1	-1.313999939E1	-3.209999847E1	-2.693999863E1
