	path	effect_type	effect_allele	other_allele	effect_size	standard_error	pvalue	chr_name	start_pos	end_pos	var_id	chrpos	chrpos_spec	start_anchor	end_anchor	pvalue_logged	sep	compression	group	drop	notes	phenotype	unit	no_cases	samplesize	url	metabolite	full_name	filename
alanine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/alanine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Alanine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	alanine	Alanine 	bioa_001.txt.gz
arginine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/arginine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Arginine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	arginine	Arginine 	bioa_002.txt.gz
asparagine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/asparagine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Asparagine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	asparagine	Asparagine 	bioa_003.txt.gz
aspartate	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/aspartate_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Aspartate 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	aspartate	Aspartate 	bioa_004.txt.gz
citrulline	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/citrulline_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Citrulline 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	citrulline	Citrulline 	bioa_005.txt.gz
glutamine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/glutamine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Glutamine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	glutamine	Glutamine 	bioa_006.txt.gz
glutamate	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/glutamate_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Glutamate 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	glutamate	Glutamate 	bioa_007.txt.gz
glycine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/glycine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Glycine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	glycine	Glycine 	bioa_008.txt.gz
histidine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/histidine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Histidine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	histidine	Histidine 	bioa_009.txt.gz
isoleucine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/isoleucine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Isoleucine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	isoleucine	Isoleucine 	bioa_010.txt.gz
